year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return,ret_exc,ret_exc2,ret_exc3,ret_emean,ret_emean2,ret_emean3,year2
2006-12-29--2013-01-04,161005.OF,mode1,50230258.464,69121082.182,58882865.771,3177861729.1712174,502302584.6439631,123012497.78132562,-219187058.5808541,2909018058.113476,0.09999999999921101,0.13760845413724815,0.11722588648978731,0.01726708375835067,0.023760967034637672,0.020241492006820357,2007
2006-12-29--2013-01-04,161005.OF,mode2,161353655.283,221586577.418,290091475.462,13218557749.888693,1392930734.4917805,373810478.11822975,-134905120.6927588,9644228245.381523,0.11583752966860257,0.15907939420896422,0.20825979948517806,0.016730592762595583,0.02297608183673116,0.030079283492789637,2007
2007-12-28--2014-01-02,161005.OF,mode1,64947258.54208481,64435917.55408481,66761536.42808481,2278255907.1762943,911477233.5349567,94057390.57361785,-97837013.92912209,1957227198.0177681,0.07125494324219342,0.07069394076271636,0.07324542399064145,0.03318330064484175,0.032922042785499775,0.034110263997812446,2008
2007-12-28--2014-01-02,161005.OF,mode2,300097260.1039818,292540771.4309818,295231385.9859818,16614781115.62625,3944134611.167804,507783506.0982726,-853010665.9627562,14222079171.876362,0.07608697209630154,0.07417109208257082,0.07485327330107729,0.021100800837715282,0.02056947988374797,0.020758665622519597,2008
2008-12-31--2015-01-05,161005.OF,mode1,18485675.128,24700393.436,8921888.868,4439960181.747018,-256403650.34006768,99378249.54383221,1370450630.7500238,2258208972.0459414,-0.0720959904567758,-0.09633401631856611,-0.03479626306476884,0.00818598958592036,0.010938045921242355,0.003950869462677209,2009
2008-12-31--2015-01-05,161005.OF,mode2,13978466.467,49973294.283,0.0,12312234886.51398,139784664.67547727,299661645.3851066,4715236928.81953,7855483880.442694,0.09999999999608164,0.35750197919791504,0.0,0.0017794532685378316,0.006361580654174007,0.0,2009
2009-12-31--2016-01-04,161005.OF,mode1,84422150.83713488,91553170.01713488,88437141.09813488,6384705333.198486,1977751003.7071934,103717514.63908923,3068944009.8595138,2101675620.9044962,0.04268593502361514,0.04629155533003049,0.04471601376126922,0.04016897279362369,0.043561988875206736,0.042079348600938836,2010
2009-12-31--2016-01-04,161005.OF,mode2,259512239.29327372,359202917.30227375,303778769.23827374,16125418136.490776,6530494489.611042,401748472.4482553,11468094934.824455,8650407976.442457,0.03973852817824372,0.05500393850323392,0.04651696279991301,0.03,0.04152439032707895,0.0351172765568457,2010
2010-12-31--2017-01-03,161005.OF,mode1,49598794.462,64206345.426,20658750.761,3024628615.49239,495987944.6189717,83908857.88128869,953123363.8273574,1766526695.1354992,0.10000000000020731,0.12945142341176186,0.04165171953296261,0.028077013836575838,0.0363460940628894,0.011694559056417426,2011
2010-12-31--2017-01-03,161005.OF,mode2,76255015.002,191365725.492,226447365.8430376,8387448633.325552,762550150.0200884,228563312.88575608,5174076603.997987,6097796864.301253,0.0999999999999884,0.25095493783190354,0.2969606206714039,0.01250533868197954,0.031382764915034375,0.037135931367071905,2011
2011-12-30--2018-01-02,161005.OF,mode1,93638899.91229343,93638899.91229343,93638899.91229343,5173255149.204513,1209783827.7333298,131189925.44503695,1906814462.926297,3121296663.7431145,0.07740134870850172,0.07740134870850172,0.07740134870850172,0.03,0.03,0.03,2012
2011-12-30--2018-01-02,161005.OF,mode2,230816570.15195033,230816570.15195033,265697716.26795033,14345699041.789974,2408200083.6133122,351074415.2724524,6509139047.753916,7693885671.731678,0.0958460934050083,0.0958460934050083,0.11033041568094794,0.03,0.03,0.034533618980609214,2012
2012-12-31--2019-01-02,161005.OF,mode1,47307755.53503197,47307755.53503197,47307755.53503197,4346531594.375179,836042805.8132886,201742343.39097032,-1470280937.7587278,5147819595.197945,0.05658532697857709,0.05658532697857709,0.05658532697857709,0.00918986274871835,0.00918986274871835,0.00918986274871835,2013
2012-12-31--2019-01-02,161005.OF,mode2,153605169.40654358,153605169.40654358,153605169.40654358,6261378011.826796,1313962894.7008479,498555656.6917571,-2930729345.9183373,11498349576.173784,0.11690221240342949,0.11690221240342949,0.11690221240342949,0.013358888455160152,0.013358888455160152,0.013358888455160152,2013
2013-12-31--2020-01-02,161005.OF,mode1,70977914.346,89590370.61,34263688.464,4879154463.865382,709779143.4629953,121951276.1043401,1185504339.983896,2726150506.6799054,0.099999999999578,0.12622288416772962,0.04827373244137365,0.026035948555328228,0.032863325187100306,0.012568524144225877,2014
2013-12-31--2020-01-02,161005.OF,mode2,99776655.95899999,291147014.864,0.0,13530142917.42058,997766559.5909758,396330245.64655054,2693933082.8567834,8861318561.84105,0.0999999999999022,0.29179872993874717,0.0,0.011259797880268301,0.03285594720832501,0.0,2014
2014-12-31--2021-01-04,161005.OF,mode1,147832343.43243092,147832343.43243092,147832343.43243092,9219309464.596907,2397949574.4963484,147832343.43243092,3572888472.4983206,3518530471.6606345,0.061649479624057896,0.061649479624057896,0.061649479624057896,0.04201536539845817,0.04201536539845817,0.04201536539845817,2015
2014-12-31--2021-01-04,161005.OF,mode2,417658547.6086584,487224674.5861363,367660778.9736584,23284585942.17638,6483898842.547532,487224674.5861363,9767860412.375826,11580984775.721947,0.06441472295464742,0.07514378099006633,0.05670365746008523,0.036064165154955224,0.042071091882232715,0.03174693569621231,2015
