year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_with_alpha,22688957.87299992,22974831.899999924,24154652.152966276,1831726839.8974123,220141889.11675638,27812631.766253665,951032388.461551,567850216.1999974
2008,161005.OF,Random_with_alpha,85380539.38996562,98329146.12596563,110105734.30628172,3273478013.099862,1036676474.3283325,129935553.19699633,1930368857.0875654,1577694433.977203
2009,161005.OF,Random_with_alpha,26197580.400746822,30188808.368746825,33128925.663912643,1235263519.9551046,453385754.9365031,46672620.84622275,639719909.4967895,657061156.4915608
2010,161005.OF,Random_with_alpha,33159140.23088012,27860954.349067517,32077335.870067514,297038100.70244765,595251552.2291385,46610162.978287324,-74708407.0876449,448367424.9135734
2011,161005.OF,Random_with_alpha,11100237.897,18785977.572,12387717.966014706,401489947.4815726,111002378.96592225,30434164.844230734,141959444.38601738,196327931.70049015
2012,161005.OF,Random_with_alpha,75842706.65456596,75842706.65456596,75842706.65456596,2913745444.117007,1167407219.0112166,96983998.354068,967675001.980977,1404937144.467821
2013,161005.OF,Random_with_alpha,113153944.73584668,113153944.73584668,113153944.73584668,4020117924.931724,2397157370.3436737,151336869.7151724,4202522957.1901703,2957229931.6335583
2014,161005.OF,Random_with_alpha,211795184.15100002,261494532.79813862,211948826.74913862,6401121054.375847,2117951841.5189304,291132775.2144736,4065658452.8321676,6098662512.537954
2015,161005.OF,Random_with_alpha,137916667.73068503,138212975.80968502,138582991.97168502,8386805202.979215,2318339061.0420294,354186936.6200949,399473659.0016006,7525098083.213663
2007,340006.OF,Random_with_alpha,25585857.315884747,24342652.878884748,27594084.037884742,1015692227.8310968,722444411.257216,30708545.84473055,331228778.39999497,305346336.38058674
2008,340006.OF,Random_with_alpha,86748530.90034515,91816597.94734515,75674723.08934514,1387146887.1598032,1001077192.7645519,120338171.41039842,750496272.3649616,1153409089.9041553
2009,340006.OF,Random_with_alpha,4547211.370999999,8305662.445,12236108.310194138,348645354.3730913,37156210.566165544,20900139.47938594,104965263.09689584,244742715.79264474
2010,340006.OF,Random_with_alpha,93338119.92689228,98499034.32489228,99612364.51489228,2400138017.7444425,1110178915.0293975,184544725.66668892,-734281899.8021177,2281757093.389334
2011,340006.OF,Random_with_alpha,12793099.834,19989010.21,22972396.338755406,329192524.34982145,108416635.71826068,34761653.30440375,52794672.94838238,302583119.4573
2012,340006.OF,Random_with_alpha,14685054.277838089,9952054.461289259,12010389.25954883,321106155.4437389,173412059.61131713,27769064.689335264,147406272.30572292,252139468.10964197
2013,340006.OF,Random_with_alpha,53636712.05557056,53636712.05557056,53636712.05557056,1477947259.8970604,759861961.8452374,80112101.46466076,1463461890.465527,1127203691.2067282
2014,340006.OF,Random_with_alpha,6080339.173,11931461.004999999,10528655.655000001,317785788.6803058,-225941200.21581092,49256485.04398477,117796794.46067716,199988994.21962854
2015,340006.OF,Random_with_alpha,18498668.083347414,12467990.830308583,13743668.300347418,286356663.35993177,321230391.0859882,25103218.209169313,22875295.075180482,248231860.71711037
2007,163402.OF,Random_with_alpha,45659359.43197928,41865749.434979275,23765718.04414014,889282500.9061716,923513992.6173513,68847357.2784455,446931121.6020306,638932103.194638
2008,163402.OF,Random_with_alpha,67079658.97094566,70297356.65994567,58603147.374945655,617223887.854754,700654454.5201873,91135510.48552701,520112776.2706424,344335346.3148135
2009,163402.OF,Random_with_alpha,6984992.335672792,7252052.061672792,13728197.20412482,459336476.4797525,52604882.31776801,18980870.469715234,243754108.80483374,232833077.85575974
2010,163402.OF,Random_with_alpha,22463034.218492553,21676774.213492554,22032381.858492553,162052246.7295533,277391886.13917834,40164407.15017683,21838472.38289806,258169097.91863242
