year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_without_alpha,131850920.44565064,139452416.06425953,174047843.11210698,11070066639.661633,2963240576.7176414,258782714.3927576,1468765844.1340108,2093967826.5753174
2008,161005.OF,Random_without_alpha,37157506.216000006,80533819.4491297,44506505.9401297,4641721357.871507,346796030.1461972,92300132.69987163,172709521.98677903,975310079.1869096
2009,161005.OF,Random_without_alpha,126867757.7897938,130419887.9067938,204522592.3778692,1635447479.4593942,2623439209.8864117,213472696.58202368,3015470958.547303,4228925259.659794
2010,161005.OF,Random_without_alpha,87823565.8516249,218730855.0366249,410771227.8846249,4457533408.667235,3193854724.9529476,496095660.9492692,723477442.997601,7279645524.119576
2011,161005.OF,Random_without_alpha,144657854.6274206,103687368.921,145719790.9345436,9081504845.742035,1801080478.3710406,155022985.14761323,3529887715.1016197,4143410417.180687
2012,161005.OF,Random_without_alpha,74155318.82027209,74155318.82027209,85231278.3092721,4861565127.209211,4577498809.476602,100562886.36609776,3013611045.0962515,2167587425.284625
2013,161005.OF,Random_without_alpha,350878872.13287646,350878872.13287646,416490126.15087646,24298361221.84058,9154391290.654144,642832968.4372293,15693949458.587685,8545880131.177512
2014,161005.OF,Random_without_alpha,287388340.814,272094193.8390573,137317112.9430573,1535878886.6761785,2873883408.139681,318544547.40965104,1933975472.055942,2912678284.9352436
2015,161005.OF,Random_without_alpha,108992907.89299999,342716220.57567406,109384904.62699999,161267982.9136327,946253803.4635627,346171166.26104516,6605641.455031909,120379350.61237104
2007,340006.OF,Random_without_alpha,135936054.8390906,136058326.57508937,118210027.89009058,2219749555.196489,1431808328.9204507,161331510.79324135,957645353.1730554,1543498835.3332925
2008,340006.OF,Random_without_alpha,395564882.2046522,345780269.25614315,358176454.31514317,7258763549.181227,5050965929.445346,410169444.60835254,1834899762.150815,2721126065.716967
2009,340006.OF,Random_without_alpha,108782834.50446895,80261426.073,22521273.895970024,1699595277.379076,829469857.3179022,203229363.41553658,613122597.6807843,750709129.8656675
2010,340006.OF,Random_without_alpha,126889873.22292823,180447824.55492824,133822367.36192822,2501457872.2850885,65724206.52329373,430303109.44141567,-2904593449.785737,6927970939.668737
2011,340006.OF,Random_without_alpha,21746705.035047274,45903970.503,19237360.019,2491082897.3908644,-1506398432.511517,289970169.00785935,634061853.8849747,6059852954.830156
2012,340006.OF,Random_without_alpha,36701413.301950745,22642048.852204487,11974416.908204487,1875127610.7200027,814685180.7831671,70612410.5131572,457543939.3612473,399147230.2734829
2013,340006.OF,Random_without_alpha,849339959.1177745,849339959.1177745,849339959.1177745,15299649777.994463,10640427268.3037,1023170325.0245137,31561375549.220043,26468784254.18733
2014,340006.OF,Random_without_alpha,66518081.129,131395762.025,163698744.37840325,2555603259.4710975,332376147.2427664,213377940.9204831,2866628278.8634095,5092926498.57062
2015,340006.OF,Random_without_alpha,137773588.112,242605952.62493515,1305469.87,290979197.96639717,1197445128.0432491,336465149.1430839,21364310.210433334,209845859.7630621
2007,163402.OF,Random_without_alpha,63023904.631857984,94845091.56885798,93588400.45188715,11798342669.788097,226286522.74794912,127266932.82358238,1878087736.7293262,2100796821.0619328
2008,163402.OF,Random_without_alpha,147124738.81369835,150965425.84669834,154230909.21869835,4150729871.263184,2022396751.481328,174063510.1300079,8351877791.302123,3687636781.0160537
2009,163402.OF,Random_without_alpha,165260788.79871505,155058664.35171506,245103058.8283731,6869582631.363418,1805677233.2251878,355438750.7915181,7613938990.030966,4995631193.190502
2010,163402.OF,Random_without_alpha,188682140.3546891,207073257.4486891,211705465.17468905,4702268327.282362,2039054330.1359959,433120711.07768726,621338494.9283822,6024273571.017964
2011,163402.OF,Random_without_alpha,146890326.26264083,159801242.6306408,225656950.9856573,4380945757.182615,1600499721.7214265,271878304.2647695,700567297.0044087,1873570791.5704062
2012,163402.OF,Random_without_alpha,354204751.04054713,354204751.04054713,386176802.87154716,2758572270.3581557,5287230062.684624,560992671.033339,5585420958.741249,6728356588.002094
2013,163402.OF,Random_without_alpha,392444332.596,353478368.67726374,340151599.93838066,1971686673.819342,3924443325.9575963,463286033.59864175,4168259934.176937,3792137225.3627696
2014,163402.OF,Random_without_alpha,342468433.2921891,517893960.21118915,292381426.15,6896970797.207576,3568822729.6892076,714000683.3472047,7797833452.315189,13911687375.302807
