year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_without_alpha,43026929.17573179,11292374.030299999,94810521.7136508,4888071962.890617,-1177109290.5920093,351914741.65511525,2547457105.0542803,3326977808.193804
2008,519005.OF,Random_without_alpha,59827460.9235272,35128713.6996,74612896.40184654,3821094809.707442,-2133297124.9389954,291013698.12110966,-734605467.870773,3735597248.270575
2009,519005.OF,Random_without_alpha,28771199.850183856,0.0,22318045.692101017,2266572855.2702436,-3023333923.2298594,409021900.07094234,161050828.60471958,5129824782.95603
2010,519005.OF,Random_without_alpha,66618872.96639134,12369364.9489,111785425.59141973,5637284553.885344,-1564079135.846384,489370148.8325659,-2734360148.9866037,8255101109.275189
2011,519005.OF,Random_without_alpha,55591539.42491164,76848868.2629936,96789297.79705055,1820230711.4731834,-1175864861.8482442,254902318.12708944,1243199807.2138305,2561628942.0997868
2012,519005.OF,Random_without_alpha,84227324.12596151,104338216.83531508,82123348.83804984,5659910990.276386,411749713.5377409,268290202.20051676,2970771273.1927195,3477940561.177169
2013,519005.OF,Random_without_alpha,-33601202.14392909,415455670.3333763,13196933.256305935,10490088447.880737,-2269662813.8845334,655300615.0680549,9291293642.742147,11073698860.509592
2014,519005.OF,Random_without_alpha,-93558623.49612847,-71530463.41021802,-110065511.7429558,8235687894.6282015,1301466207.9970355,186423841.06909147,-2524524.342132187,-2381398675.3895187
2015,519005.OF,Random_without_alpha,112525304.88284287,118487239.15890653,134244379.6554367,6755428404.989916,1976269916.9386172,403990320.88430995,-156743875.38374448,6400388143.108187
