year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_without_alpha,131352756.06409755,106011944.46050236,123289017.13609755,4275924911.952044,2197241474.893619,156409181.2528183,3029421411.4294243,1874150828.783412
2008,161005.OF,Random_without_alpha,31241329.854458682,34462616.199419945,29635917.193458684,294582755.107024,449500322.01899517,41878322.15677591,203688674.91841772,175551221.30129117
2009,161005.OF,Random_without_alpha,157420380.48307142,159822986.84807143,191202004.11907142,9807529928.260033,2883477392.53623,249232927.40239495,6111445401.087364,4554279884.202381
2010,161005.OF,Random_without_alpha,37736895.76715827,42620231.56115827,28218974.953158267,363046567.52521396,613530811.2664816,78231883.8946913,-203941286.12946093,822130337.0775517
2011,161005.OF,Random_without_alpha,18697116.757000707,24511326.132000003,13329784.795000708,330091192.54414594,204493275.37522972,38820530.18126532,104387633.80575095,279496919.28350115
2012,161005.OF,Random_without_alpha,122821763.7947735,122821763.7947735,122821763.7947735,5214017972.449868,2303848745.6514053,147224924.8255647,2392440518.7425184,2690467580.205597
2013,161005.OF,Random_without_alpha,23690304.404912446,27071548.138261735,27028704.075912446,2201852717.7124186,1007513151.1862357,74015421.20665798,155310928.91410923,-112708124.44497633
2014,161005.OF,Random_without_alpha,56004474.132,56004873.00789445,55831754.25635183,1156903524.3445256,560044741.3116322,63624004.94041682,734804818.2352766,1102238825.7631483
2015,161005.OF,Random_without_alpha,171590972.30008075,171833406.18308076,172136146.67908075,6861931529.71026,2406387142.2538624,348539374.1186887,326842084.637673,6156898431.720264
2007,340006.OF,Random_without_alpha,69064360.23730752,78127910.56530751,81125744.11430751,3252400071.258124,1732997712.8481832,88020187.86015226,1976051578.5768397,1322649245.3093803
2008,340006.OF,Random_without_alpha,86700404.0047127,71973524.82371269,51357846.395712696,3095445446.5640426,1019233548.4229395,111884212.88460252,561537073.5019937,1811847634.6823072
2009,340006.OF,Random_without_alpha,15183013.327,45040758.92,14184379.848891215,4503105688.462507,-130946911.56213522,145339788.93272543,368875158.15996885,3175274715.1006227
2010,340006.OF,Random_without_alpha,37553924.679508194,33245066.7955082,39069729.161508195,394352532.9468572,442439516.070202,66350899.47784464,-266369027.57141256,792725594.8979516
2011,340006.OF,Random_without_alpha,30860129.825,39103800.399,44596370.9791786,719981034.1107337,200701436.6467262,74411996.1333901,126867310.36714418,728383263.8430572
2012,340006.OF,Random_without_alpha,116613864.1647826,101809853.6937826,112803142.96378261,4968181497.566639,1235398868.0747283,185886955.96529388,2260117007.064426,2646768252.0927534
2013,340006.OF,Random_without_alpha,211407004.22851592,211407004.22851592,211407004.22851592,7359703908.8889065,2487785493.159855,332575143.75775194,7192956524.862359,5659817692.837311
2014,340006.OF,Random_without_alpha,18837319.75322804,17925406.011,13251215.36922804,1731702140.5669525,60560872.62862009,88613912.60094361,208390902.54816335,302720838.40760136
2015,340006.OF,Random_without_alpha,58528896.03786543,49742566.732055865,58365390.40086543,2603509856.957865,775379169.4282583,121337632.84479018,218684378.18252814,2498263221.7641582
2007,163402.OF,Random_without_alpha,24530120.784356214,23664307.88935622,21795570.560356215,552174467.0360136,790823039.8816912,33022626.26799929,303514553.7984872,226376738.6642232
2008,163402.OF,Random_without_alpha,43821487.33263596,45725421.77263596,40536704.70463596,338058763.5207481,559709483.0918891,55940033.075748555,262082990.22106248,247055358.50428566
2009,163402.OF,Random_without_alpha,38788107.50225443,39363299.05525443,51204248.37068532,1947580663.2693164,627441693.9927282,69479273.50272122,726792506.2279558,1292936916.7418144
2010,163402.OF,Random_without_alpha,94098625.40149805,87983780.86549805,75031281.26249805,2584034424.4500937,1289413257.907221,152170258.66343743,-52367922.82587719,2850766775.268291
2011,163402.OF,Random_without_alpha,14302501.481306687,18269676.98230669,13567197.775306687,509726912.6356963,174462787.197621,31952123.76224341,148750672.3095655,307931978.45403665
2012,163402.OF,Random_without_alpha,153380116.61160558,153380116.61160558,110130981.58985025,3072445034.826983,1919850759.4798832,187037770.76774186,1927581083.3296885,3467754106.4251776
2013,163402.OF,Random_without_alpha,55558520.03661821,62637647.154424414,408489.83161820844,14638145567.555094,1261992108.0164356,85120702.44084528,480923384.5931072,-644395126.0268736
2014,163402.OF,Random_without_alpha,51184641.716904715,46383348.00322934,65322068.81122935,2524717705.5273404,710757467.4123398,68260430.27990706,270567519.43766975,446713828.62251234
2015,163402.OF,Random_without_alpha,195714920.8081364,195700485.76813638,178032439.93885788,3379200102.6762266,2383570432.8772607,279599142.8529629,185573066.64458284,3008702160.4275513
2007,519005.OF,Random_without_alpha,12254771.216,4214968.98,11569624.669269126,3622149184.099045,-342859089.86403775,86254570.27224247,599140259.0385898,1422283776.8438344
2008,519005.OF,Random_without_alpha,15938215.059,19357074.234,18547104.347,661663847.3336588,-314773657.70633173,92685408.3496546,72162085.19065599,507740862.97787595
2009,519005.OF,Random_without_alpha,0.0,0.0,0.0,1049136519.548133,-597204077.7021588,96387733.52745873,-107179277.32790583,1091950558.3227918
2010,519005.OF,Random_without_alpha,3473137.179,2462455.257,7670896.725,852298281.7153231,-299258185.8257712,84234799.45992324,-563730284.0958699,1215837217.2682495
2011,519005.OF,Random_without_alpha,46674062.84814094,37674153.01814094,41489121.98214094,2166412826.032062,-639441843.47587,151199843.23453858,920663601.9867487,1255805100.6046982
2012,519005.OF,Random_without_alpha,27981752.152320232,27981752.152320232,27112425.896,763738439.2242364,-237031730.11423916,85133994.13459048,626097631.5837506,932725071.7440078
2013,519005.OF,Random_without_alpha,12625002.104,34666876.45137452,5559904.275,1319102747.7051537,-183400476.0375259,87067475.27838679,1011486520.5133747,1109665660.9791508
2014,519005.OF,Random_without_alpha,21277906.47177636,16182570.341127934,15170167.337,744973282.5499758,-302944605.21675575,46133210.53152771,62095374.3711555,169844537.68828076
2015,519005.OF,Random_without_alpha,19842363.278688148,19842363.278688148,18932113.636,924030890.152005,83827125.31373031,77427616.23361847,-20085798.377272733,987573323.1095964
