"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"1",2007,"161005.OF","Random_with_alpha",110278845.541506,133773760.441052,120602945.90196,6174487416.28775,2488224219.37235,154218862.942085,4898222460.83912,2953640151.88815
"2",2008,"161005.OF","Random_with_alpha",209917898.475723,228195331.477235,207618357.375135,5089695064.7538,3184703986.59901,309341877.194602,3735636169.76166,2987400453.52621
"3",2009,"161005.OF","Random_with_alpha",102883233.430097,95621347.7755754,94830121.5536412,5445463461.258,2173078118.25036,168599761.31805,3398634066.38803,2890451141.56025
"4",2010,"161005.OF","Random_with_alpha",130185078.757811,152045162.446542,169094369.57162,4134804348.05952,2815287281.06178,344478872.759434,-1007131180.94798,5589212656.61669
"5",2011,"161005.OF","Random_with_alpha",95711964.1843592,119813302.7584,82175214.6314609,5131926857.24551,1051653799.70511,168649042.341596,1978351570.09577,3571101119.32787
"6",2012,"161005.OF","Random_with_alpha",183021403.273166,206510369.797872,165922512.846463,6243031075.93366,3043607793.24398,230611585.024416,3684901634.46879,4319615253.52198
"7",2013,"161005.OF","Random_with_alpha",304967808.320959,302828523.023631,318751650.717887,10032882286.8681,4315549717.60294,313909532.409943,6068352236.50909,3327835016.79233
"8",2014,"161005.OF","Random_with_alpha",264769751.709612,348600362.983661,320090070.771957,8468705762.59967,2408678038.8322,292330707.459462,3124235086.21922,4659124657.01841
"9",2015,"161005.OF","Random_with_alpha",199234644.561909,231650122.236217,162989102.455865,6419600122.57286,3270389339.89834,403436467.537562,315939218.419336,5989832021.77515
"10",2007,"163402.OF","Random_with_alpha",129470200.563508,152452780.161381,141154846.031197,5702577104.37737,1989346386.96057,221501923.009165,4040778322.45811,3468244159.7045
"11",2008,"163402.OF","Random_with_alpha",194878082.30355,230438704.889933,210471374.131975,5123332393.13671,2419257932.07183,301651354.606902,3668099724.6666,2982098403.84349
"12",2009,"163402.OF","Random_with_alpha",58943893.0629889,71424947.5738935,77915918.6144052,4436767217.59414,582019080.021765,89988929.7715164,1792251304.80401,2376576711.75661
"13",2010,"163402.OF","Random_with_alpha",190521660.90517,206094992.215394,209600185.207357,4615996487.18391,2595220778.18577,335152772.015207,181349227.311068,4930697832.51584
"14",2011,"163402.OF","Random_with_alpha",140911767.194081,149984529.767385,135961760.66335,5397908125.4666,1693175847.31392,227753270.453191,2010741504.26009,4071397694.91259
"15",2012,"163402.OF","Random_with_alpha",181083808.85606,201276594.444342,170210178.410468,5933518795.66859,2263478012.13211,224752921.007952,3035071054.7886,4251538079.40296
"16",2013,"163402.OF","Random_with_alpha",345903995.517395,365305101.245978,275256488.755615,8878728530.04024,2579756464.36239,285509196.152286,4464541958.74513,3436456002.86844
"17",2014,"163402.OF","Random_with_alpha",67467395.7860621,246435620.747486,234020981.910766,7522377641.60598,1565300188.83448,265532686.729256,2646545319.79773,4639956388.98478
"18",2015,"163402.OF","Random_with_alpha",204415600.050509,229346415.204148,170803518.090772,6222354502.53782,2704145970.48182,390290054.772826,352109801.149098,5771905916.9706
"19",2007,"340006.OF","Random_with_alpha",147738597.130576,178142367.539242,165172520.761743,5889253065.07984,2528265956.02351,210248481.358582,4208127417.12017,3350480359.61863
"20",2008,"340006.OF","Random_with_alpha",220156781.467263,228532711.440361,235722542.768012,4931942021.67597,2354339377.20697,310272944.215906,2920140048.82602,3350511054.83055
"21",2009,"340006.OF","Random_with_alpha",55847547.4553394,37881868.3145029,50636015.4208197,4697046597.78178,-27867361.6311056,165645188.974016,1509897433.23913,3287678369.92103
"22",2010,"340006.OF","Random_with_alpha",126289077.488009,153540590.379732,148130109.967228,4055153115.02398,1245127292.73859,351847688.090741,-1763646716.53665,5657302805.21636
"23",2011,"340006.OF","Random_with_alpha",81066399.4647653,59819706.6647428,95678409.230943,5350901948.58598,52516845.2257413,261960385.223437,1003168644.47643,4712569696.54443
"24",2012,"340006.OF","Random_with_alpha",57476526.4815101,84331946.0422332,58363118.7461952,3621471536.31957,-223877166.259247,153385802.217989,1334832352.8004,1931866694.7755
"25",2013,"340006.OF","Random_with_alpha",289755268.745565,312394014.424758,262357786.102943,9299905154.32241,2067180394.13153,338182761.451437,6006113313.5314,4142308965.49964
"26",2014,"340006.OF","Random_with_alpha",4220896.00447144,10641578.989515,19058412.8630606,277283806.62273,-714688379.216318,45233261.4134648,81699740.5856643,136221431.491863
"27",2015,"340006.OF","Random_with_alpha",149594782.711073,183578786.947152,125798162.622447,6194628516.27956,1602521889.11998,381893852.650474,505778377.81004,5616259753.86438
"28",2007,"519005.OF","Random_with_alpha",336162.2314475,-2942938.9146318,-2149422.17549331,141600742.480235,-287307310.852942,3752897.07393795,65810633.9864993,95915056.0714043
"29",2008,"519005.OF","Random_with_alpha",65635847.1189924,38898510.2932902,108939989.78093,437686683.741403,-1189052027.26975,283192566.626726,505251718.361691,2284449007.50969
"30",2009,"519005.OF","Random_with_alpha",750670.867143416,-909901.52996781,2935282.37965916,119584865.660931,-351918539.380053,12421627.6543785,89371374.2229019,116487081.548718
"31",2010,"519005.OF","Random_with_alpha",17692551.6204134,8069087.0871693,46565710.4744071,117034440.047576,-1111392397.42165,197074339.631996,-727762047.1737,1109195909.31836
"32",2011,"519005.OF","Random_with_alpha",2812514.21302035,2812514.21302035,3911899.90690668,156445335.152947,-126421423.696055,17500750.4000906,62934127.6608926,93750473.7673451
"33",2012,"519005.OF","Random_with_alpha",3196161.5954569,3695143.80662274,5315319.43035521,176422822.397041,-466734010.11783,26388941.0524407,80713874.4023521,127585901.265029
"34",2013,"519005.OF","Random_with_alpha",6533660.9984166,6915662.60394371,25948888.4900609,245010458.588412,-984040942.168047,75881679.9649036,134242896.406312,110619585.510744
"35",2014,"519005.OF","Random_with_alpha",2268811.71603329,2257987.74675091,9606060.70185352,201525438.827687,-383544748.57508,18555948.1786295,27217737.5634607,110357708.550396
"36",2015,"519005.OF","Random_with_alpha",3163250.79655713,6307187.05392752,4259756.13574764,312785504.298492,-585861949.709903,63761421.2275185,-7271379.76289995,295193818.853197
"37",2007,"161005.OF","Random_without_alpha",258782787.301278,220697135.556731,214657769.20604,6495514413.98523,4952148906.75311,328923332.938983,5620206518.44031,3430960941.07854
"38",2008,"161005.OF","Random_without_alpha",211704296.371121,229769889.888371,209629668.321293,5060105089.83935,3220048217.74436,311617136.697964,3708071379.43125,2969171510.11321
"39",2009,"161005.OF","Random_without_alpha",186689372.994271,147131769.176451,121086952.451077,5619654828.99908,3735621742.4354,278602560.856133,3914723024.98469,2931042076.51615
"40",2010,"161005.OF","Random_without_alpha",128896351.146509,151435904.316011,169409208.903779,4078073724.51043,2793863928.68778,342326954.552496,-984238559.8743,5540023935.05815
"41",2011,"161005.OF","Random_without_alpha",197064089.51938,199620041.142571,193731965.712229,5705776009.51941,2391404745.42404,293515281.81023,2364730764.50615,4188747587.42288
"42",2012,"161005.OF","Random_without_alpha",236577758.320435,228779730.076306,200236040.622868,6461744954.27763,4856480146.5935,306778985.566648,3914738130.62215,4689858217.36679
"43",2013,"161005.OF","Random_without_alpha",312230698.073375,310200852.566681,326400283.142476,10220608585.6596,4544778496.97784,325684071.206826,6082540952.31991,3317309358.41715
"44",2014,"161005.OF","Random_without_alpha",304512638.499143,380965352.668416,347937511.213209,9063954972.24903,3034653842.84768,323342217.240253,3139801788.82166,4678076033.64412
"45",2015,"161005.OF","Random_without_alpha",196969175.485803,227745894.220502,162508184.730242,6382844048.70055,3286039269.68977,398588056.873215,314221993.41821,5957610047.92924
"46",2007,"163402.OF","Random_without_alpha",223080678.663589,247133066.039642,184446275.469346,5839815309.57203,3815704052.4214,350470033.184967,4263360998.43852,3753435372.00466
"47",2008,"163402.OF","Random_without_alpha",194895551.162465,231127977.111632,210266397.434686,5143028737.18024,2425789817.45861,302770131.190941,3642066478.06378,3011233073.11172
"48",2009,"163402.OF","Random_without_alpha",163647085.29095,110151925.527421,120986710.909268,5652797702.7812,2575882691.56426,312538421.708912,3356658713.56276,3529420239.85106
"49",2010,"163402.OF","Random_without_alpha",189586114.051887,205011244.939321,207021625.190696,4574295270.75813,2568857813.21577,334264685.60062,173093037.693705,4859585884.64988
"50",2011,"163402.OF","Random_without_alpha",185451423.363075,190126941.193809,188759346.443449,5511846939.39839,2214661405.02759,296283399.250311,2098500146.09402,4221283206.26145
"51",2012,"163402.OF","Random_without_alpha",249084490.272313,243176187.650983,213637869.73213,6188446979.6766,3763589383.59778,325039917.522727,3198368825.7796,4696038902.84264
"52",2013,"163402.OF","Random_without_alpha",378985219.279179,397383991.398246,303116989.395907,9256304767.41145,3064516880.05611,318498758.385423,4649018462.22567,3572773566.03104
