"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"1",2007,"161005.OF","Random_with_alpha",24174526.5035423,45916271.904402,37836335.0385463,3321854472.64259,-178242690.588789,66724907.1014559,-135431011.731095,2160167749.10943
"2",2008,"161005.OF","Random_with_alpha",148214935.853478,146822627.065758,150683102.591395,4733574761.5349,2272623750.27545,221656919.806433,-121847127.910792,4944646506.9949
"3",2009,"161005.OF","Random_with_alpha",26541489.9617332,7119693.1090444,23063206.1872638,4453680224.87394,-265485379.479673,81950176.831144,1569171353.51649,2428587087.38285
"4",2010,"161005.OF","Random_with_alpha",126508467.929452,152585322.803077,136324946.482207,6309191049.60132,3233996899.72138,177475673.628303,5188399608.67678,3142115396.34678
"5",2011,"161005.OF","Random_with_alpha",29952665.9401962,51709752.3064349,19387501.4958899,3564928950.46227,348226165.62618,62250930.188791,1145337027.60201,1625032382.52168
"6",2012,"161005.OF","Random_with_alpha",63902542.0842225,78239877.7292451,69785498.8102704,4746841593.77908,855946158.385785,102389775.766091,2104272486.65204,2587333530.95771
"7",2013,"161005.OF","Random_with_alpha",63115613.1052446,61281302.9405944,88936052.3341695,3937193957.29998,1335588899.10128,213858240.332262,-887941633.058635,5085897913.0556
"8",2014,"161005.OF","Random_with_alpha",83690218.7391512,109481036.395027,81748471.2428354,5138738678.43323,840920006.47358,150940483.239183,1951969251.91343,3545228752.73034
"9",2015,"161005.OF","Random_with_alpha",191456846.400836,223431539.026644,155965552.438111,6298490005.12757,3221275227.41549,223300806.412005,3776731420.30365,4497990107.8946
"10",2016,"161005.OF","Random_with_alpha",13510961.6297518,14828755.9075649,13529378.8200538,1007922888.28506,175270572.735901,27742684.4232773,643001880.183005,450365387.658394
"11",2017,"161005.OF","Random_with_alpha",83522390.147699,123955606.874931,111419064.297615,3052916267.93477,719871664.387759,102634993.141341,1611784455.55654,2413774267.38485
"12",2018,"161005.OF","Random_with_alpha",44407222.200187,52648556.5281168,40792732.0832195,3890671209.48418,730750729.577733,159168150.007959,195071104.696742,3711421440.39917
"13",2007,"163402.OF","Random_with_alpha",34862215.8952874,48889664.405063,54245868.9727698,3944981192.16752,317568407.849834,117590401.462366,-475074829.648214,3635562173.12268
"14",2008,"163402.OF","Random_with_alpha",118351088.125188,140761584.66085,144014983.429303,4616851682.58777,1275410187.60673,213099653.96663,-186277779.828004,4603031239.75037
"15",2009,"163402.OF","Random_with_alpha",1467590.35557159,31303.6363816,14194855.8435432,2302922468.93109,-463887523.41484,18794817.6996058,630316814.807223,609596965.121934
"16",2010,"163402.OF","Random_with_alpha",113972146.261799,128650138.833808,122720997.331164,5561996292.62131,1814095608.24752,184711109.675853,3881482255.30951,3326144393.60738
"17",2011,"163402.OF","Random_with_alpha",81341806.2905442,87807677.2210231,72409712.7585451,4496618977.63978,1115163388.49282,105271436.315626,2588930604.9458,2397247595.23453
"18",2012,"163402.OF","Random_with_alpha",60678675.9015785,73348942.0673758,80367563.3330011,4611865907.67739,700384348.282375,96657945.5797996,1873027039.22303,2442153542.10343
"19",2013,"163402.OF","Random_with_alpha",106198992.452634,119494405.882697,119710767.459574,4188180752.51172,1315130919.26363,182419529.212843,155168885.778611,4272352497.74415
"20",2014,"163402.OF","Random_with_alpha",61019153.8323691,77993164.9305947,71596613.6036712,4691421947.26642,525045759.674485,125450425.935215,1552185377.46082,3203474835.58053
"21",2015,"163402.OF","Random_with_alpha",194032076.09197,219311475.846554,159356153.373069,6013153124.40097,2610651530.86667,219302441.320711,3114296244.61604,4500160593.35025
"22",2016,"163402.OF","Random_with_alpha",99697456.6715972,144551221.643465,116754047.284364,7242795537.31872,1528190233.35911,176552255.46557,4139328691.14499,3256086379.05343
