"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"1",2007,"161005.OF","Random_with_alpha",11958769.6007838,14094622.6187652,20580440.3500709,560749022.094088,-107017574.437573,25970556.4271445,-30189558.5109852,579429196.696569
"2",2008,"161005.OF","Random_with_alpha",47065496.6014054,46887382.5736681,45873475.5650041,1061704673.88211,674003700.022811,63943845.7515073,-66144938.6689056,1126999106.76286
"3",2009,"161005.OF","Random_with_alpha",5890899.52825094,8953589.0561776,11777837.8787974,1100500686.54394,-13909798.8203589,32306831.2712165,400653495.744262,694687571.178625
"4",2010,"161005.OF","Random_with_alpha",48659985.8993958,48771640.5654844,48580136.1137135,2310045238.71107,1071806275.89789,57697488.3318099,1407565344.92822,928567589.51905
"5",2011,"161005.OF","Random_with_alpha",10647313.6161065,18215580.440542,7649332.47879545,588567328.80216,110596236.350122,28265005.3401383,262547768.204284,328646718.399283
"6",2012,"161005.OF","Random_with_alpha",28126341.9239808,26703174.5897323,26869942.0439687,1614371111.83377,497897458.97355,46467346.935737,737999212.336709,890105819.657743
"7",2013,"161005.OF","Random_with_alpha",28558164.0260895,28553924.9370766,31292184.367791,1796735074.78665,711615216.955564,98875070.0932172,-481097233.422022,2344038171.87135
"8",2014,"161005.OF","Random_with_alpha",44965114.9661461,48468368.4055871,43647197.841513,2078201560.10819,455536442.659589,65082987.3652175,710887866.606734,1376858046.95205
"9",2015,"161005.OF","Random_with_alpha",84569497.7867055,84762781.9535028,80648243.043296,3286245724.75227,1528638469.48404,84762781.9535028,1590016041.15338,1822386295.45019
"10",2016,"161005.OF","Random_with_alpha",4975291.16737896,4975291.16737896,4982992.69115086,449395119.881959,79271836.792448,22278237.0294189,293960851.437273,165843038.912632
"11",2017,"161005.OF","Random_with_alpha",32958399.5591741,39568068.6693623,35228543.6234047,1445580218.22134,374125433.435288,47116252.3530311,580702751.319423,866983759.506155
"12",2018,"161005.OF","Random_with_alpha",26806430.6069934,26941613.1385823,22154748.6327323,1457552920.32554,366714077.311358,66711121.9057721,72869917.2822419,1385673777.8541
"13",2007,"163402.OF","Random_with_alpha",24743433.5025327,24894526.3160049,24801807.9225884,1207261639.22451,526662219.575483,53263088.0279169,-230811422.244477,1438453858.04984
"14",2008,"163402.OF","Random_with_alpha",43956673.6837496,44163958.3094784,42333676.1369677,918925732.889794,515270829.142494,59622745.7380725,-65527738.2350881,983676812.850686
"15",2009,"163402.OF","Random_with_alpha",70818.2867815,345691.3736389,8006036.45494011,367838673.562357,-136488511.482401,14007407.88728,130963371.931707,218176007.917186
"16",2010,"163402.OF","Random_with_alpha",35458472.8604767,35475023.8384433,35219146.2130188,1756714131.68231,542694129.742411,55370042.7634126,934131123.449247,841035797.706111
"17",2011,"163402.OF","Random_with_alpha",28625976.9595235,30252797.6054607,25837841.7902019,1257753106.54915,353691039.904661,41907005.1780669,600886442.703075,655317185.303331
"18",2012,"163402.OF","Random_with_alpha",25152489.0259356,24935713.6087804,25678421.1499256,1476652645.61917,396569489.670334,44753671.3746679,654153634.178724,831190453.626013
"19",2013,"163402.OF","Random_with_alpha",53872549.4547061,53987209.4107797,54355995.2273109,1806953038.30123,724393824.526629,80563277.8797765,31062508.6652003,1804403813.52962
"20",2014,"163402.OF","Random_with_alpha",39219020.8313777,39769117.1387444,39585027.2792826,1866355833.62429,431425220.128285,58690134.2276628,603146470.518009,1276874885.53403
"21",2015,"163402.OF","Random_with_alpha",81637269.5726574,81866828.1310967,74800473.4369939,2932112090.72248,1175645395.36458,81866828.1310967,1271614296.63587,1733059577.26217
"22",2016,"163402.OF","Random_with_alpha",44417428.716717,45613284.4480746,43909230.9029045,2281407087.54004,520424281.218463,60335411.0802364,1255289812.01901,1011609591.24331
"23",2017,"163402.OF","Random_with_alpha",20462833.6884575,26362641.0909561,27953802.4024936,1240259394.29936,236411764.106859,41428447.7190463,453885436.953259,796542463.736704
"24",2018,"163402.OF","Random_with_alpha",32048638.2634902,32135067.0605084,28472256.5967239,1769866322.38635,375280366.220829,78678233.4381498,101380311.52267,1669091378.79622
"25",2007,"340006.OF","Random_with_alpha",35999956.4087921,36068269.9144055,35830505.6974127,1252404863.47857,606534356.592243,49620391.9077381,-87289406.3580724,1347662166.17336
"26",2008,"340006.OF","Random_with_alpha",57857993.1773556,58553867.9340851,55317970.8789693,1095605337.9648,709642987.396012,61161053.4439124,66467652.5017274,1037829373.59164
"27",2009,"340006.OF","Random_with_alpha",4398958.31153323,8351038.5450193,9927549.93771522,913087510.212461,-53143526.4440235,28071903.3516292,303393186.435744,604196798.786669
"28",2010,"340006.OF","Random_with_alpha",47521565.8863605,47595433.0626356,47520913.4988877,1978097367.08236,732057561.714679,57735927.4307134,1076554259.19409,926514028.956815
"29",2011,"340006.OF","Random_with_alpha",26977232.6706431,28241274.5092691,28004263.2151909,1270237739.43042,267502154.797986,46773496.921,482015889.165686,791287355.252029
"30",2012,"340006.OF","Random_with_alpha",8697435.13213313,7549086.8730422,7107365.83836284,788958385.658189,-16158430.7535717,39482859.5435779,220467405.723797,723504077.973911
"31",2013,"340006.OF","Random_with_alpha",27815184.6061672,27940919.2226688,27899801.5454671,1304740667.19461,157209186.040226,86421842.3835649,-632069289.572951,1949364105.3632
"32",2014,"340006.OF","Random_with_alpha",1487009.02930525,5705075.2513378,15858334.2747002,254452514.035087,-200854449.763331,34340049.2827472,1759350.29141717,511989583.598686
"33",2015,"340006.OF","Random_with_alpha",49547329.239414,49382563.6791949,43943227.6006721,2244517991.73968,591380909.14138,68830697.6267831,975094490.567702,1300377429.08029
"34",2016,"340006.OF","Random_with_alpha",3449008.35943271,3449008.35943271,3449008.35943271,303388486.270933,-46156301.1135644,22401407.4350761,189623981.346316,114966945.314424
"35",2017,"340006.OF","Random_with_alpha",4457640.6529512,4374584.1541928,4457640.6529512,347203655.234674,-145453451.821475,20477376.2142165,109310066.389516,183296134.069243
"36",2018,"340006.OF","Random_with_alpha",27310853.4384462,28969606.4331579,20817279.5806466,1265152168.53754,293971076.126163,57989460.0302642,103886652.691798,1160324109.1455
"37",2007,"519005.OF","Random_with_alpha",731790.7340004,138645.108315135,5969418.45834433,129627077.558767,-322038068.136425,11994733.4921837,-44261877.7617666,185646290.494616
"38",2008,"519005.OF","Random_with_alpha",16627079.2785811,15884656.8268928,17009832.8175983,617945831.929037,143844217.866042,53608935.5658022,-177182303.957016,782178910.075274
"39",2009,"519005.OF","Random_with_alpha",0,0,8393869.42731319,271531508.218813,-158260895.138329,15339551.7592582,62803835.3853466,226417004.06566
"40",2010,"519005.OF","Random_with_alpha",4977996.42269323,2204081.3878489,7732178.40821459,768288548.773029,-10215620.5176921,48218727.4135489,400016393.965008,605574282.888739
"41",2011,"519005.OF","Random_with_alpha",0,0,333.33792,121888175.26387,-152204087.328567,21311449.8894545,25253593.6347725,140988612.605949
"42",2012,"519005.OF","Random_with_alpha",7746.0530572,0,325513.675520708,173080031.079615,-240874087.543524,24291554.3828224,13458689.1176865,257955573.199518
"43",2013,"519005.OF","Random_with_alpha",3667437.91752587,1911364.4946153,7047688.42302195,151169993.94683,-218474072.59276,43054341.8155254,-305081618.626874,639467971.967925
"44",2014,"519005.OF","Random_with_alpha",4497729.20262665,4526475.10909844,4786179.96743833,222197135.402955,-265705549.592144,20306480.9681889,108314748.130942,150882503.636615
"45",2015,"519005.OF","Random_with_alpha",5569358.42529286,6029859.80784098,4485063.69358568,257757892.723532,-114712304.541129,30106220.2207033,123877213.117772,200995326.928033
"46",2016,"519005.OF","Random_with_alpha",2115556.44645387,3801659.6984314,2411220.3041677,269761221.539828,-156427261.260606,22655425.5452944,162165516.298699,126721989.947713
"47",2017,"519005.OF","Random_with_alpha",16039975.2783689,20421149.8878505,12281890.7532737,948053189.116769,29203019.0660949,43797111.8234785,170108711.299496,779198731.187603
"48",2018,"519005.OF","Random_with_alpha",19879463.2574626,24675756.2968196,16097515.3669564,1195040914.57737,165771519.542192,61310934.3473905,-26653799.0788949,1221172601.6857
"49",2007,"161005.OF","Random_without_alpha",49990242.5609889,45231335.4280478,48914566.836309,1724967922.67355,456173668.340514,84914505.3921407,-91172531.074742,1835077996.68573
"50",2008,"161005.OF","Random_without_alpha",46236616.8265377,46160599.3293523,44962665.7592988,1028939764.02423,662003977.938571,62717534.0816042,-65344455.3657619,1093992962.19668
"51",2009,"161005.OF","Random_without_alpha",30463144.2820648,23552208.7037903,18312411.3150455,2390952871.03335,181913136.591333,76698112.1151713,886868412.463567,1551217587.35161
"52",2010,"161005.OF","Random_without_alpha",48983218.7930147,49214096.4791813,48944349.9358498,2339385916.00466,1079011686.52457,58181466.5541289,1428288828.38779,940073018.093376
"53",2011,"161005.OF","Random_without_alpha",38420864.4098639,40388904.8805671,31933664.5274638,1653444744.54983,405417685.967752,57618235.4552554,741706209.230707,924171848.534696
"54",2012,"161005.OF","Random_without_alpha",50097710.0703884,45750164.9621372,46877026.9699128,2734683681.4044,921374321.968922,75666727.6897808,1284260713.56863,1525005498.73791
"55",2013,"161005.OF","Random_without_alpha",30094529.6882484,30088945.6826945,32778594.8851901,1895237060.60152,752317072.733821,104319894.973357,-507296299.680174,2474364976.3554
"56",2014,"161005.OF","Random_without_alpha",58905849.0660534,61228871.0741631,50552006.083224,2585577366.96573,611877070.265462,82284090.5250961,894893551.775484,1746638088.39676
"57",2015,"161005.OF","Random_without_alpha",83807302.7716114,83986197.4589222,79825230.9411804,3250565726.75364,1519211376.59706,83986197.4589222,1567508791.22224,1800142187.06615
"58",2016,"161005.OF","Random_without_alpha",23811361.915877,23810410.1705747,24869347.1732261,2152696583.86573,585590391.387856,53948183.1538333,1356635444.9411,793680339.019157
"59",2017,"161005.OF","Random_without_alpha",59875170.9342443,64687252.8846568,64209096.0740832,2533497640.59559,677309994.532836,75418894.1497698,1013905834.69334,1513678536.48908
"60",2018,"161005.OF","Random_without_alpha",32284144.3664169,32332712.5523267,30137917.3755001,1969791143.4326,520858603.681122,86048971.0357083,98433286.8994658,1871615042.07694
"61",2007,"163402.OF","Random_without_alpha",55691622.0656767,55704669.311816,48674482.436306,2074850632.19169,1003396567.2398,105543199.51943,-405791146.769296,2517475779.22957
"62",2008,"163402.OF","Random_without_alpha",43575135.1544865,43782869.4735353,41924222.4678046,917136942.900461,510756417.98581,59152871.0873869,-65088126.8969108,978027175.214299
"63",2009,"163402.OF","Random_without_alpha",6449772.3769856,1392674.9892513,10083760.7074325,2085623708.30173,-73633535.4513571,70471044.844656,744804894.540426,1346954230.94632
"64",2010,"163402.OF","Random_without_alpha",35211576.3291822,35210323.9140488,34893960.6527906,1744773250.27988,539898404.746864,54920205.5939256,929542149.780509,835390040.589194
"65",2011,"163402.OF","Random_without_alpha",41977259.7517633,42160085.6459431,37477487.5205257,1759249052.38504,517550530.92247,57882894.1136929,860594188.477463,928952748.648629
"66",2012,"163402.OF","Random_without_alpha",46707755.9902506,45068131.3243237,46855977.8757344,2590785180.48498,779463607.163942,75000711.2983516,1149436646.71984,1502271044.14412
"67",2013,"163402.OF","Random_without_alpha",61203688.8627425,61302331.0990916,61988407.6256136,2042214334.11783,837772029.953243,91638550.7392511,39004916.3444228,2059702339.74327
"68",2014,"163402.OF","Random_without_alpha",58566289.6837836,59034843.9172659,53096368.4697771,2724307536.44215,688291839.9145,87195567.6783258,892921977.987329,1900411630.09232
"69",2015,"163402.OF","Random_without_alpha",82110716.1365786,82336349.384991,75108341.6593639,2929698832.62228,1181275056.47136,82336349.384991,1276366874.95931,1744831657.99731
"70",2016,"163402.OF","Random_without_alpha",44595074.5807727,45903988.9425287,44203656.3450777,2285925456.70417,521553545.378624,60699273.0385952,1264625350.2008,1018771237.59348
"71",2017,"163402.OF","Random_without_alpha",42086642.3839487,48175712.0091608,48141969.314571,2336812526.70318,481001124.221632,75160003.9397755,852791354.046794,1496496283.41015
"72",2018,"163402.OF","Random_without_alpha",33666903.0089324,33739360.4951019,29667880.8901865,1847142540.81692,396107083.022749,82275217.9756177,105743252.430079,1740551569.39399
"73",2007,"340006.OF","Random_without_alpha",78913863.2419655,78625169.6668005,70183224.2395226,2259629363.70178,1186360695.61439,103510566.867625,-156614269.156061,2451244762.89527
"74",2008,"340006.OF","Random_without_alpha",57677727.8660851,58345642.9708034,55233302.0192681,1099588757.62085,707420083.774494,60937289.4865759,67133172.251929,1031643843.48491
"75",2009,"340006.OF","Random_without_alpha",29001110.3760117,25226797.9632777,16986993.0781674,2331417866.37657,79097340.6168185,77483990.4268983,789206269.990192,1581304614.33582
"76",2010,"340006.OF","Random_without_alpha",47474517.2123437,47582964.8869303,47510059.4585587,1961844293.71284,729922364.56518,57749338.7282751,1072269883.2869,924414041.426888
"77",2011,"340006.OF","Random_without_alpha",37222750.2722476,37000687.9617073,37844601.4398375,1648633822.62811,373104423.522427,61398042.5957496,644774213.288182,1042525411.13631
"78",2012,"340006.OF","Random_without_alpha",19487761.771406,15209936.8244931,15794484.2732982,1903424869.72574,46923463.1793592,73625945.8376301,469228990.957479,1457719523.34207
"79",2013,"340006.OF","Random_without_alpha",29765423.4776054,29868051.6836442,29827550.6159614,1422400811.28212,177791318.717959,93643272.1220748,-687463374.84741,2125840681.28102
"80",2014,"340006.OF","Random_without_alpha",10359001.0735327,9098836.3501113,11905483.9615007,1926425744.89435,-118666749.474419,79034283.9026071,310809996.962476,1625437697.65799
"81",2015,"340006.OF","Random_without_alpha",49801627.7405586,49875260.4763084,44096162.0581863,2258499565.53721,591765301.289188,69537793.4606498,981604195.508999,1312989520.44592
"82",2016,"340006.OF","Random_without_alpha",20288618.0624689,20288618.0624689,20287464.1482073,1667384181.68626,211313117.592216,50316117.5761102,992650957.901424,676287268.748965
"83",2017,"340006.OF","Random_without_alpha",22674098.1661135,28318339.5179886,28495414.6080891,1891086852.05051,153452385.728842,65564723.0168245,699030439.268261,1186545274.6928
"84",2018,"340006.OF","Random_without_alpha",37920355.8039905,38642507.5104068,34294486.9747775,1892173599.58028,455579582.10036,82078877.5433417,155434162.220854,1736751262.17602
"85",2007,"519005.OF","Random_without_alpha",3298102.0448714,1044234.09396769,5602140.01745008,1044797620.12529,-380371552.742561,71841842.7845912,-355473571.040543,1395969438.84129
"86",2008,"519005.OF","Random_without_alpha",16517735.802,15776084.4774607,16667130.4007846,613322933.911918,143097510.244209,53202513.5411542,-175854336.768292,775499264.43415
"87",2009,"519005.OF","Random_without_alpha",1141284.7278179,0,7577346.07433228,1692124228.15899,-434161121.806326,69008540.6524551,393800065.488069,1304825376.90277
"88",2010,"519005.OF","Random_without_alpha",6872246.99838365,2531735.0409809,6997304.95924274,1195242426.76237,24621037.658405,52251569.3956487,451359049.079969,742863299.292023
"89",2011,"519005.OF","Random_without_alpha",899150.320847,0,1806774.0491404,736191337.857038,-449831548.838008,53053638.6375309,-28109829.8463958,766546078.407642
"90",2012,"519005.OF","Random_without_alpha",12552.9260245,0,254966.730741135,1240584537.62444,-653456439.859342,69227036.7679328,-62150796.4795538,1305523490.38568
"91",2013,"519005.OF","Random_without_alpha",6180845.07112409,2399732.5337432,6433724.91934454,959502486.431535,-385293941.424658,77871301.7206199,-630464683.533796,1596731892.16689
"92",2014,"519005.OF","Random_without_alpha",26910616.7263213,29016842.6036643,25213686.2934538,1625537175.56085,-215390299.705445,59040044.2832936,652071054.763157,967228086.788809
"93",2015,"519005.OF","Random_without_alpha",24771535.1694001,28446095.9220885,24638123.7098671,1642804805.34094,89639813.2483279,58301477.201529,702974112.624896,948203197.402951
