year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_with_alpha,12930728.652,18760587.744999997,27038465.184802283,795549936.2793362,-96982835.9510294,32036768.74607863,-19690344.533179417,810506286.7425449
2008,161005.OF,Random_with_alpha,37890896.64854458,36664582.16554458,39176864.70454458,1198248306.6123955,517593007.81447756,49429255.46299282,-27059426.646404497,843420775.6816081
2009,161005.OF,Random_with_alpha,11525336.635,12724385.586,10278503.535,2674085573.2710433,115253366.34642786,74242713.46211757,1174521632.9556344,1931584235.3439898
2010,161005.OF,Random_with_alpha,27593730.367214046,23530723.279214047,24580019.517214045,824202537.71747,536720751.4193744,28794560.230605505,632957019.8768612,373225208.14046824
2011,161005.OF,Random_with_alpha,4332675.915,13598612.713,1560721.536,423139519.65989864,43326759.15840335,21760905.91336687,129085245.28006493,219814428.29876983
2012,161005.OF,Random_with_alpha,15565317.49797571,15565317.49797571,15565317.49797571,1028138814.9375772,466727873.1844547,37342068.2618733,605068512.5564146,518843916.59919035
2013,161005.OF,Random_with_alpha,51841352.856825404,51841352.856825404,87074758.6338254,2286057552.2670283,1512202879.7318332,199854413.5073119,-333628147.60178125,4933768688.34955
2014,161005.OF,Random_with_alpha,35018537.287,37054888.906,32327946.685999997,1752742613.087335,350185372.8716182,50357879.14219937,531352482.9607117,1118588384.7945974
2015,161005.OF,Random_with_alpha,61128278.77010713,61128278.77010713,61128278.77010713,2655780543.719988,1230269738.8988156,61128278.77010713,1053848240.9061081,1195335470.0539932
2016,161005.OF,Random_with_alpha,6039662.170357983,6039662.170357983,6039662.170357983,446121876.73964757,80159320.32422516,21614637.613250487,341084403.2077477,201322072.3452661
2017,161005.OF,Random_with_alpha,11899462.572799541,20386229.14479954,4330712.10579954,867775456.8191055,178567649.28735068,29324496.07982821,99886327.24352252,144357070.193318
2018,161005.OF,Random_with_alpha,26457876.708144676,26481870.191144675,14365826.2,679119741.2996349,343548429.3875405,43970315.056563735,32347293.324616157,609343193.2473019
2007,340006.OF,Random_with_alpha,9343274.77413051,10303410.566,8998837.17913051,303006028.3277002,323088292.23645186,14415110.531274881,-34752314.74748669,519341989.3714791
2008,340006.OF,Random_with_alpha,74266751.75655705,81089939.84555706,71435312.90555705,846603784.7376647,865881511.5986857,84809137.83993748,-1273104.6764677465,1480482654.5126808
2009,340006.OF,Random_with_alpha,2868038.4,9504819.3,11320140.175215783,2629590179.9191065,-476661567.26281965,44644233.56551582,661386936.8801559,1110803113.0100014
2010,340006.OF,Random_with_alpha,59017432.69400613,58072253.22700613,57247094.51100613,2332332838.117322,922662769.7394564,68669314.31247105,1445523043.8055832,1246025437.9335377
2011,340006.OF,Random_with_alpha,14386294.431,15520276.508,17337007.30204319,197617041.42548597,143862944.30942208,20123161.9041802,129459689.73591447,157970904.2014396
2012,340006.OF,Random_with_alpha,14934585.882588586,5194280.156,14934585.882588586,711504485.4079195,94253449.55539006,33807949.54159148,287778654.5523021,497819529.41961956
2013,340006.OF,Random_with_alpha,49193265.58300037,49193265.58300037,49193265.58300037,6490848802.497896,-1217326186.9493613,329576377.4720675,-2892223350.385828,9346103729.63557
2014,340006.OF,Random_with_alpha,0.0,6029084.636,20058316.93952923,307893743.4390059,-198303841.27689642,34922132.86707092,9847573.976956904,495460530.91805637
2015,340006.OF,Random_with_alpha,26005766.036,23890448.312334426,29155252.46,796506777.52876,260057660.35882494,38441873.584657185,337963185.693206,537683639.5111475
2016,340006.OF,Random_with_alpha,3306433.743365479,3306433.743365479,3306433.743365479,272442724.09394497,-41236967.98820478,22893463.351598762,203691108.67420655,110214458.11218265
2017,340006.OF,Random_with_alpha,4738878.257,4738878.257,4738878.257,315515323.9827145,-138102169.3457603,19283532.694598045,116955178.90441501,198560145.07829943
2018,340006.OF,Random_with_alpha,19999787.878000002,21085164.328260273,6062737.4629999995,727164588.6719726,199997878.7812193,36850341.36059008,58088763.63804262,630351732.6109935
2007,163402.OF,Random_with_alpha,25960515.064206135,24463758.431206137,24475603.081206135,417851343.7527823,528592013.32296807,43045004.74097425,-150625363.45510203,938291146.325604
2008,163402.OF,Random_with_alpha,43673622.38736427,40424556.73936427,43838821.580364265,1052404800.9830738,457250663.6626998,54154436.23060843,-24985801.43689292,873662579.3748058
2009,163402.OF,Random_with_alpha,0.0,493056.819,10643172.506922487,330336122.6161746,-125105892.55457333,18054475.53894863,149757608.11970124,247043434.40087143
2010,163402.OF,Random_with_alpha,29237636.52158809,28361832.07158809,24466304.60558809,916351855.3130744,430027631.400515,44553732.76986912,654624405.9795744,667487286.919603
2011,163402.OF,Random_with_alpha,37762339.152471386,38540050.586471386,16049929.849,1567669215.9748642,507953259.17402554,50363963.49905262,555860160.2875528,926417070.1157129
2012,163402.OF,Random_with_alpha,53160669.51321424,53160669.51321424,53160669.51321424,2639792617.1464777,585720542.4338454,68161589.7373613,1033060017.6632755,1772022317.1071413
2013,163402.OF,Random_with_alpha,141099208.40722418,152406616.50322416,125557731.71622416,7559595655.729347,1920221903.151438,249338082.48345163,-178448309.59644097,6581240828.374249
2014,163402.OF,Random_with_alpha,38090233.22,40050975.87771444,34948653.97371444,1985394793.877836,380902332.1989605,58528507.19376108,538084937.2058699,1246946481.4015546
2015,163402.OF,Random_with_alpha,150137909.43331745,150137909.43331745,150137909.43331745,5287624711.862512,1988048026.3626385,150137909.43331745,2315972703.6019087,3338560587.509969
2016,163402.OF,Random_with_alpha,32645710.014,34630424.09318337,45907761.88818336,1063965888.6120735,326457100.1427488,49234021.37879958,821952525.9970429,649610914.3727788
2017,163402.OF,Random_with_alpha,6406613.27043261,9240988.081,6659080.605,590446801.22884,98168015.8247765,16861835.089074418,63276668.91971418,104471383.31442034
2018,163402.OF,Random_with_alpha,41205053.16828182,41195228.68628182,41386372.58528183,2299882127.7725616,521588459.1614192,98296618.39682545,126300948.86473651,2047721388.5847874
2007,519005.OF,Random_with_alpha,791500.618,135542.896,9465291.087866612,127391606.31157152,-331433820.4877964,14510824.271768348,-43683567.765137374,181184211.69672453
2008,519005.OF,Random_with_alpha,12646462.792,14471039.415,8812940.264,370188488.2696086,86641055.59777871,44257033.70898375,-181249973.99243215,559867363.6014225
2009,519005.OF,Random_with_alpha,0.0,0.0,10331816.33204322,206557807.17796174,-155180284.6035784,17390836.584796686,45582705.55723122,235300675.0917822
2010,519005.OF,Random_with_alpha,0.0,3638819.297,4346118.269,1295434727.219517,-54466788.02782518,66801029.1297348,625583774.6332879,1192821098.6649559
2011,519005.OF,Random_with_alpha,0.0,0.0,0.0,120383807.3797192,-126044607.32187168,24244672.89859959,20129986.168141853,144037558.1848464
2012,519005.OF,Random_with_alpha,0.0,0.0,0.0,130241833.2509556,-151128958.25014135,16172072.73744175,13295496.53471585,125552949.33738202
2013,519005.OF,Random_with_alpha,3663753.898,1927385.974,0.0,153127802.53613675,-226515055.82958448,48604559.6428584,-397303783.7739947,817805694.4722648
2014,519005.OF,Random_with_alpha,4643337.76467567,4643337.76467567,5346685.261675671,228811974.88819107,-323958595.6357573,20067230.59775578,107523619.15062973,154777925.48918903
2015,519005.OF,Random_with_alpha,5095692.613852717,5095692.613852717,5095692.613852717,225042467.42610112,-27229360.219768763,20299716.991619587,126441489.63988239,169856420.46175724
2016,519005.OF,Random_with_alpha,1685597.107755786,1685597.107755786,1685597.107755786,220769930.3118474,-134818252.71078157,21349004.12835772,135141872.26298672,56186570.258526206
2017,519005.OF,Random_with_alpha,26036689.574920896,28360673.03928779,9879973.646,1195366572.0242968,283897069.392054,36536529.310208686,99636774.28342415,272528542.3640299
2018,519005.OF,Random_with_alpha,14317997.06,14770468.955357285,7151303.031,579538861.6888229,106460751.1831013,33352221.76066771,-12597523.36392234,619391760.1770141
