year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_without_alpha,152578242.171,153544694.50300002,197666386.38008425,1283730371.2758331,1253352050.764006,300878274.59680086,-806610320.5507085,6033670182.65722
2008,161005.OF,Random_without_alpha,99951487.16431113,141532600.8773111,125463394.17231113,1778946821.2805712,2909644803.117717,183865624.4582014,-333750354.8867283,2797137909.796343
2009,161005.OF,Random_without_alpha,362388131.21813667,143981253.078,0.0,5490514889.410432,4259754185.877967,379465432.0305586,3546859737.673391,6502640408.347395
2010,161005.OF,Random_without_alpha,139328647.54420304,176274291.42820305,106380128.684,1151033774.7292929,3587795560.339379,192041793.070425,3753719210.025814,4644288251.473434
2011,161005.OF,Random_without_alpha,134523474.3373683,94684979.545,134523474.3373683,1108236061.4199777,3756795746.5240107,134523474.3373683,7698698218.317743,2187948665.767624
2012,161005.OF,Random_without_alpha,335276842.08630645,184283118.71333185,184283118.71333185,10579563612.045504,4611787682.172344,335276842.08630645,3294227793.23317,6142770623.777728
2013,161005.OF,Random_without_alpha,54891076.524974555,54891076.524974555,54891076.524974555,1583835534.6992705,1494753804.734445,183925291.979601,-928872591.2876934,4301140515.154215
2014,161005.OF,Random_without_alpha,0.0,13234666.182,8679012.369011618,259553620.4899129,-29949744.259503394,16621454.574951397,157233010.18365663,249723332.56705397
2015,161005.OF,Random_without_alpha,24372098.641274806,24372098.641274806,24372098.641274806,266039732.80050603,678723876.2196167,24372098.641274806,415341114.910712,568324504.8856988
2016,161005.OF,Random_without_alpha,364681964.1741162,364681964.1741162,364681964.1741162,15490567652.060133,5350210227.378865,453344116.40703374,16352504151.529198,12156065472.470541
2017,161005.OF,Random_without_alpha,54245305.448,85419252.59820852,75349467.99720852,1324412856.462197,509491346.73583746,91025202.41187748,1667697890.4349456,2511648933.240284
2018,161005.OF,Random_without_alpha,109984231.85356933,108513535.92556934,106676997.19556934,13875693502.439627,3298391748.1904655,549911076.1573906,790498086.680647,15379445612.194044
2007,340006.OF,Random_without_alpha,87437101.68500659,169280158.0780066,107773469.52,9019287919.293175,1301527838.1008635,214272615.20227575,-85197783.76527144,4428110730.675639
2008,340006.OF,Random_without_alpha,387162800.31277627,380543754.56377625,404243041.0941607,4965054051.43297,4502086167.890065,404243041.0941607,1065758185.6705782,9433857161.912813
2009,340006.OF,Random_without_alpha,180342201.338,111082523.124,48761880.062,15427732888.828184,1803422013.3761911,353278018.9327649,5054480677.799417,7365996601.304626
2010,340006.OF,Random_without_alpha,326888115.1273085,294622580.3643085,297070723.5183085,18686926207.10484,6208786443.4381075,332355869.0511187,12394750247.384974,7364858028.443617
2011,340006.OF,Random_without_alpha,42816021.791,102204232.799,85087390.077,3080877652.8588653,173192585.99921978,130847808.02575107,656563907.1997446,957557960.3078843
2012,340006.OF,Random_without_alpha,60626715.46626477,21086098.237,60626715.46626477,1766842602.0678759,3105551364.983966,253693118.4628724,5148173336.216788,2020890515.542159
2013,340006.OF,Random_without_alpha,37339424.860282615,37339424.860282615,37339424.860282615,7286278182.440875,-789278409.3225875,261682711.36292017,-2917674688.1425204,7478109550.087918
2014,340006.OF,Random_without_alpha,10990944.973,42886442.424,0.0,3282229752.032622,-53174413.48151654,239040521.44537932,-14296517.601519048,3212017056.7905083
2015,340006.OF,Random_without_alpha,20567701.0726377,68012972.64563769,20567701.0726377,178051032.52623463,-2717356812.1448483,156982268.98389283,689095172.1172607,685590035.75459
2016,340006.OF,Random_without_alpha,31240065.342,58080556.67173838,41107057.754,2508604072.7622967,251649379.00077742,83838095.47272645,2113820598.555645,1936018555.7246127
2017,340006.OF,Random_without_alpha,-21224772.102141514,0.0,0.0,629561532.0033786,-142083909.4222206,-5645753.757364409,-374539703.0137773,-707492403.4047172
2018,340006.OF,Random_without_alpha,100657326.966,109861567.91924794,111762022.25124794,2140348413.3480833,1006573269.6597251,148466148.52176178,157148922.6059998,1543557945.4837947
