"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"1",2007,"161005.OF","Random_with_alpha",0,1899652.8216539,8476062.99245947,573039695.258592,-228014796.45622,8535372.57996961,603412234.470755,284512419.33232
"2",2008,"161005.OF","Random_with_alpha",30017341.6752261,30017341.6752261,28705375.4196704,1114813530.3671,502585093.048616,30017341.6752261,106577255.370221,1000578055.84087
"3",2009,"161005.OF","Random_with_alpha",2711482.3716256,8933680.9080889,10737688.4876449,688947363.764996,18412333.916926,11440709.2322569,489248315.108574,381356974.408563
"4",2010,"161005.OF","Random_with_alpha",20772494.3103134,21108171.4328495,20748179.7080342,957301976.431978,209820582.390888,30116625.2788209,-53623886.9009173,1003887509.29403
"5",2011,"161005.OF","Random_with_alpha",2639346.8690783,9139121.5963915,1524967.4516265,334176094.877303,26312180.6457063,18443505.6182105,-118456729.355711,614783520.607017
"6",2012,"161005.OF","Random_with_alpha",1637261.19305454,0,394775.7561363,935093475.88947,-50966747.9140742,19757485.6158693,359506297.283846,658582853.86231
"7",2013,"161005.OF","Random_with_alpha",28431019.270826,28431019.270826,28430993.7751743,2361165271.0592,876534205.205768,28431019.270826,1431705673.22656,947700642.360867
"8",2014,"161005.OF","Random_with_alpha",18341337.7085378,21940877.3526862,17586331.3881169,1388942091.75203,189149278.508323,23784300.5142102,705523475.614664,792810017.140339
"9",2015,"161005.OF","Random_with_alpha",29803295.9877106,29923278.6550747,29639340.1827192,1813942050.5155,618042843.648723,29923278.6550747,826403939.46839,997442621.835825
"10",2016,"161005.OF","Random_with_alpha",0,0,5057.1710346,194080204.110302,-59043651.2848766,17308262.9419751,-149687787.34323,576942098.065837
"11",2017,"161005.OF","Random_with_alpha",9664764.4482554,13516000.1688173,9109792.31983208,854130112.459274,96647644.4825376,21040492.6600712,315300028.449866,701349755.335707
"12",2018,"161005.OF","Random_with_alpha",25016579.323756,25147426.0495681,20228520.8545161,1380125431.2909,349003216.685992,25147426.0495681,598420445.6509,838247534.985603
"13",2019,"161005.OF","Random_with_alpha",28529684.0817627,28529684.0817627,28529684.0817627,2573934867.22798,786043682.467222,28529684.0817627,1626643820.90331,950989469.392091
"14",2007,"163402.OF","Random_with_alpha",10009838.6325506,10156128.8494473,10030822.500579,1438121146.82354,378510139.348559,10040700.3473311,1275878187.35921,334690011.577702
"15",2008,"163402.OF","Random_with_alpha",29687613.2457369,29937356.7608291,28012831.400558,972342256.109143,372100357.879527,29937356.7608291,-24360997.4338471,997911892.027635
"16",2009,"163402.OF","Random_with_alpha",0,346803.6173943,7484866.40809147,231607070.107291,-110553813.227061,7486136.65178738,437981551.944622,249537888.392913
"17",2010,"163402.OF","Random_with_alpha",10199022.376927,10156438.5909418,10079683.8532221,827942336.661159,101990223.769293,29881499.7056805,-160791457.424439,996049990.189349
"18",2011,"163402.OF","Random_with_alpha",9099055.8805456,10575340.6016382,9714604.46375522,651057236.769692,90990558.8054348,22209809.8797113,-58711297.5936506,740326995.990377
"19",2012,"163402.OF","Random_with_alpha",314574.6249442,0,789242.801858598,931277114.605047,-69312139.0059996,19865275.6786752,351777840.23175,662175855.955842
"20",2013,"163402.OF","Random_with_alpha",26507615.2000783,26512911.0969893,26228831.46187,1817045196.08665,452024854.434313,26512911.0969893,981502679.688138,883763703.232977
"21",2014,"163402.OF","Random_with_alpha",19771007.9884407,20293145.7147503,20099171.0148792,1263789609.2743,237232952.132704,20293145.7147503,810772166.361968,676438190.491675
"22",2015,"163402.OF","Random_with_alpha",29832527.9922491,29942822.4438767,29927627.0978803,1759353128.41831,551051909.139257,29942822.4438767,760018721.351372,998094081.462556
"23",2016,"163402.OF","Random_with_alpha",15320551.3169503,15325962.2876603,15313891.4613747,1025615323.51769,153205513.169516,30106886.3738977,13418655.5284904,1003562879.12992
"24",2017,"163402.OF","Random_with_alpha",6352793.7911788,8966716.7754108,10556154.0658571,804622312.391751,63527937.9117586,17718710.2217255,295102854.948896,590623674.057517
"25",2018,"163402.OF","Random_with_alpha",28405202.4191692,28489285.9769247,24768058.4460409,1659564849.6053,339011198.108351,28489285.9769247,704935399.785346,949642865.897489
"26",2019,"163402.OF","Random_with_alpha",22613654.8868499,22770512.0454685,22662092.2501207,1731953368.65318,272920853.727692,22770512.0454685,1005690854.77272,759017068.182284
"27",2007,"340006.OF","Random_with_alpha",9118986.37354638,9268785.48091804,9110760.19283909,1338840254.32898,338264232.469578,9125606.53908491,1201237577.69339,304186884.636164
"28",2008,"340006.OF","Random_with_alpha",29923745.0577044,29923894.2114343,28510797.5347075,1026025348.11856,423130130.572142,29923894.2114343,27159472.9621211,997463140.381143
"29",2009,"340006.OF","Random_with_alpha",2924584.70896126,8367535.1266508,9907542.23326577,600699831.209631,21161969.9764048,9965646.64386999,517861714.966695,332188221.462333
"30",2010,"340006.OF","Random_with_alpha",19895154.6112149,19858062.0269234,19794414.7723588,937014799.809201,198951546.112181,30028286.3769295,-64884301.1204006,1000942879.23098
"31",2011,"340006.OF","Random_with_alpha",19367295.8882022,21003565.1407195,19195240.5253216,783765228.81918,196400759.714054,22923109.9672479,41493822.4270389,764103665.574929
"32",2012,"340006.OF","Random_with_alpha",622815.8586751,0,1673.2922245,775102551.304053,-88850284.3860716,17795666.1017889,272976943.428456,593188870.059629
"33",2013,"340006.OF","Random_with_alpha",27674995.2159965,27812268.0390841,27766122.8200771,1954347914.29301,516567484.522289,27812268.0390841,1071492389.33669,927075601.302804
"34",2014,"340006.OF","Random_with_alpha",1493287.85017706,5669474.9201953,15798365.8894121,909891526.094765,-10620769.1824566,18861922.1163304,544219355.884723,628730737.211015
"35",2015,"340006.OF","Random_with_alpha",11240755.810537,10493584.8823828,10213834.8087572,1318027757.99143,102693116.578655,30171138.2421921,312383911.943674,1005704608.07307
"36",2016,"340006.OF","Random_with_alpha",0,0,0,174707761.482433,-124527292.542097,18957301.0962308,-208790458.939956,631910036.541028
"37",2017,"340006.OF","Random_with_alpha",0,0,0,223699126.329169,-195751988.659665,14975546.6976555,-6386631.43016517,499184889.921852
"38",2018,"340006.OF","Random_with_alpha",21496090.5912393,23172474.0967402,14940376.3947841,1167330184.76456,235117688.587389,23172474.0967402,462268524.752003,772415803.224675
"39",2019,"340006.OF","Random_with_alpha",24112425.0447514,24112425.0447514,24112323.7744236,2012456429.98895,468326975.089897,24112425.0447514,1229154709.84937,803747501.491714
"40",2007,"519005.OF","Random_with_alpha",0,-433.259355239312,5517859.37279087,248228128.023995,-329203006.43639,6473835.1661447,427812540.087776,215794505.538157
"41",2008,"519005.OF","Random_with_alpha",15764733.9224422,15821937.9802916,15169784.767305,760983026.569971,157647339.224468,30024549.6499057,-237911333.817548,1000818321.66352
"42",2009,"519005.OF","Random_with_alpha",0,0,8434114.47327935,330112582.430753,-70510689.4694732,8595245.285497,466416485.494569,286508176.183233
"43",2010,"519005.OF","Random_with_alpha",2408462.8119712,745386.4125904,2232258.098942,743492109.132753,7788261.61602224,29891404.1174849,-253516571.635847,996380137.249497
"44",2011,"519005.OF","Random_with_alpha",0,0,0,186255339.541949,-62130594.4729524,17065350.3672134,-200012852.243458,568845012.240446
"45",2012,"519005.OF","Random_with_alpha",0,0,0,518412615.888078,-201177765.88602,16552729.128321,114167618.614605,551757637.610701
"46",2013,"519005.OF","Random_with_alpha",3583138.99977532,1929366.2686616,7069394.5884655,1009898299.20472,-19470884.3971958,24095119.9511784,527468914.663494,803170665.039282
"47",2014,"519005.OF","Random_with_alpha",0,0,248764.2567743,238964735.262876,-317356050.200735,15807864.8348993,179582156.595106,526928827.829978
"48",2015,"519005.OF","Random_with_alpha",11638.7180232,0,134899.628411501,326683252.29022,-187897915.662889,23930684.6802123,-101790286.453058,797689489.34041
"49",2016,"519005.OF","Random_with_alpha",0,0,0,144714929.128196,-201203949.078448,18868844.7437479,-304364026.962067,628961491.458263
