"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"1",2007,"161005.OF","Random_with_alpha",0,493457.013677,1908869.12921569,658887884.671842,-404412377.628452,1911116.59059953,561980415.551537,63703886.3533175
"2",2008,"161005.OF","Random_with_alpha",72754245.7758574,73633983.0025042,70387403.3828642,4648690209.51745,1495128316.08911,73633983.0025042,1622332058.79284,2454466100.08347
"3",2009,"161005.OF","Random_with_alpha",1225204.73355324,7024484.9208465,2423137.82436969,1200091418.47384,-84200653.4610596,8970927.41823447,131335853.274368,299030913.941149
"4",2010,"161005.OF","Random_with_alpha",33090717.7819208,57890325.4497152,47489175.0655014,3981141191.38612,329219327.282446,82596507.441884,-138722431.845385,2753216914.72947
"5",2011,"161005.OF","Random_with_alpha",1502910.93050217,6666381.1021441,2741395.73828263,547822189.811494,5154352.14375312,13453310.1473487,-76039690.4043452,448443671.578289
"6",2012,"161005.OF","Random_with_alpha",1594791.50113197,0,10959292.0884048,2427642416.89858,-537560144.082249,24581663.4860525,608512581.446953,819388782.868415
"7",2013,"161005.OF","Random_with_alpha",60106163.8970249,61764584.7690622,57888233.9638053,5485965009.09421,1725122746.36595,61764584.7690622,3780113589.35794,2058819492.30207
"8",2014,"161005.OF","Random_with_alpha",17590305.1937837,40432465.7137113,18987617.93535,3229600121.98793,132376777.581794,43785124.5420119,1276631303.20441,1459504151.4004
"9",2015,"161005.OF","Random_with_alpha",65954871.9391654,87565202.6754504,54761632.3483908,4836633622.08085,942242165.328574,87436715.2460585,1526287665.24631,2914557174.86862
"10",2016,"161005.OF","Random_with_alpha",0,0,1213.3069751,189747691.292757,-74011116.3466816,14224534.7145057,-244166134.054741,474151157.150191
"11",2017,"161005.OF","Random_with_alpha",6988887.45184273,19440349.3271443,6992997.63023043,1772462434.57642,41568619.6411334,30262986.2546698,263825421.704679,1008766208.48899
"12",2018,"161005.OF","Random_with_alpha",39535538.2606762,47472493.0441674,35910331.8181377,3663633950.22632,675704668.130185,47472493.0441674,1437372410.95558,1582416434.80558
"13",2019,"161005.OF","Random_with_alpha",60504728.1058736,60731502.0088162,56978043.9975813,5163114478.57611,1464839736.21054,60730534.4535116,3014844491.06502,2024351148.45039
"14",2007,"163402.OF","Random_with_alpha",2349466.18892686,11291895.987616,6540049.61584085,2544695488.1606,9632799.5625585,7914818.9885331,1485805965.95312,263827299.61777
"15",2008,"163402.OF","Random_with_alpha",52338817.6124102,75456818.7273389,70836492.7252074,4116557809.05468,613887717.475889,75456818.7273389,675750978.972293,2515227290.9113
