year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,163402.OF,Random_with_alpha,10009838.632550573,10156128.849447286,10030822.500579003,1438121146.8235383,378510139.3485586,10040700.347331053,1275878187.3592114,334690011.5777018
2008,163402.OF,Random_with_alpha,29687613.245736916,29937356.760829054,28012831.40055802,972342256.109143,372100357.8795269,29937356.760829054,-24360997.433847055,997911892.0276351
2009,163402.OF,Random_with_alpha,0.0,346803.6173943,7484866.408091466,231607070.107291,-110553813.2270606,7486136.651787381,437981551.9446223,249537888.3929127
2010,163402.OF,Random_with_alpha,10199022.376927,10156438.5909418,10079683.8532221,827942336.6611586,101990223.76929331,29881499.705680467,-160791457.42443857,996049990.189349
2011,163402.OF,Random_with_alpha,9099055.8805456,10575340.6016382,9714604.463755222,651057236.769692,90990558.80543481,22209809.879711296,-58711297.5936506,740326995.9903766
2012,163402.OF,Random_with_alpha,314574.62494420004,0.0,789242.8018585977,931277114.6050465,-69312139.00599962,19865275.678675245,351777840.23174983,662175855.9558417
2013,163402.OF,Random_with_alpha,26507615.200078335,26512911.0969893,26228831.46186997,1817045196.0866485,452024854.4343127,26512911.0969893,981502679.6881382,883763703.2329768
2014,163402.OF,Random_with_alpha,19771007.988440704,20293145.714750268,20099171.01487924,1263789609.2742977,237232952.1327045,20293145.714750268,810772166.3619677,676438190.4916755
2015,163402.OF,Random_with_alpha,29832527.99224912,29942822.443876673,29927627.09788033,1759353128.4183095,551051909.1392574,29942822.443876673,760018721.3513722,998094081.4625559
2016,163402.OF,Random_with_alpha,15320551.316950299,15325962.287660299,15313891.461374685,1025615323.5176922,153205513.16951552,30106886.373897705,13418655.528490387,1003562879.1299235
2017,163402.OF,Random_with_alpha,6352793.7911788,8966716.7754108,10556154.065857144,804622312.3917514,63527937.91175864,17718710.2217255,295102854.9488964,590623674.0575166
2018,163402.OF,Random_with_alpha,28405202.419169202,28489285.976924665,24768058.446040943,1659564849.6053047,339011198.1083512,28489285.976924665,704935399.7853463,949642865.8974888
2019,163402.OF,Random_with_alpha,22613654.886849873,22770512.045468517,22662092.25012071,1731953368.6531808,272920853.72769165,22770512.045468517,1005690854.772718,759017068.182284
