year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_without_alpha,21896127.216429964,3380429.624214983,40923994.05375537,4427213086.305459,-653790046.9098115,239740480.0364289,-1161235794.0055943,4912090502.7885065
2008,519005.OF,Random_without_alpha,66693745.66892683,38898685.674234405,97307228.6417072,4361096957.041437,515696804.1785879,215769818.70092037,-846578217.7085695,4731786908.701161
2009,519005.OF,Random_without_alpha,25646768.412068922,-67324.56750372669,9922648.244041365,5169271030.629505,-1122434174.2498777,203152556.25018668,1304838499.9324086,4074889794.678447
2010,519005.OF,Random_without_alpha,37678329.31641943,10518744.233158099,61980867.626777366,5058120743.55898,-261366305.77280307,194256580.31742617,2435568750.5461025,3430683552.2948146
2011,519005.OF,Random_without_alpha,25630410.29506327,0.0,51366715.16037638,3867677205.632147,-1904174649.4746737,190415179.93456045,201012232.66488802,3473906580.761403
2012,519005.OF,Random_without_alpha,14074660.533574361,-129540.64188190861,21483702.636391107,4506307698.239569,-1996295237.5730007,209365004.8037959,259641960.68853477,4237893493.631353
2013,519005.OF,Random_without_alpha,15330969.418267947,6044841.916137399,44563008.94253882,3606826245.449383,-1650528663.7049694,229660881.45629752,-1789426696.652241,5138971825.255832
2014,519005.OF,Random_without_alpha,83716955.58665055,107668896.71451116,82928949.14923069,5842219302.820955,-297618782.42944425,185919479.13818473,2591315292.200867,3588971129.208227
2015,519005.OF,Random_without_alpha,85985669.3210927,111732930.5974616,90265408.47302029,5934659694.984249,927608644.3058199,205860980.48894572,3236473132.7790895,3724704100.8369017
2016,519005.OF,Random_without_alpha,4138753.64152249,94013998.15959015,18502056.53864789,5683598726.876748,859194270.0161484,156452258.06494156,3729977960.423326,2613524972.477918
2017,519005.OF,Random_without_alpha,-36281865.085303925,-18157790.974256415,-46318567.50428906,6413897021.308661,1087217502.3684804,187999619.71474332,854583899.643226,3440200101.8406405
2018,519005.OF,Random_without_alpha,50536001.02051661,73096345.13258557,59727474.629487425,4974082087.933962,985396879.247715,222084459.80411723,-112348487.60463226,4966270489.051056
