year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_with_alpha,0.0,-433.2593552393121,5517859.372790867,248228128.02399483,-329203006.43638974,6473835.1661447,427812540.08777606,215794505.53815663
2008,519005.OF,Random_with_alpha,15764733.9224422,15821937.9802916,15169784.767305002,760983026.569971,157647339.22446793,30024549.649905726,-237911333.81754833,1000818321.6635243
2009,519005.OF,Random_with_alpha,0.0,0.0,8434114.473279353,330112582.4307533,-70510689.46947315,8595245.285497002,466416485.49456894,286508176.1832335
2010,519005.OF,Random_with_alpha,2408462.8119712,745386.4125904,2232258.098942,743492109.1327529,7788261.616022239,29891404.117484905,-253516571.6358472,996380137.2494968
2011,519005.OF,Random_with_alpha,0.0,0.0,0.0,186255339.54194903,-62130594.472952396,17065350.367213376,-200012852.24345756,568845012.240446
2012,519005.OF,Random_with_alpha,0.0,0.0,0.0,518412615.8880784,-201177765.88602027,16552729.12832102,114167618.61460467,551757637.6107007
2013,519005.OF,Random_with_alpha,3583138.99977532,1929366.2686616,7069394.588465497,1009898299.2047235,-19470884.39719581,24095119.951178443,527468914.66349435,803170665.0392816
2014,519005.OF,Random_with_alpha,0.0,0.0,248764.2567743,238964735.26287642,-317356050.20073485,15807864.834899334,179582156.59510598,526928827.8299778
2015,519005.OF,Random_with_alpha,11638.718023200001,0.0,134899.62841150103,326683252.29021955,-187897915.6628893,23930684.6802123,-101790286.45305766,797689489.3404101
2016,519005.OF,Random_with_alpha,0.0,0.0,0.0,144714929.12819618,-201203949.07844767,18868844.7437479,-304364026.9620673,628961491.4582634
2017,519005.OF,Random_with_alpha,13055971.974303776,20370840.56517407,12084257.721400607,774054705.9349002,131385617.33729985,20370840.56517407,344009818.9233253,679028018.8391356
2018,519005.OF,Random_with_alpha,19874149.16857207,24621325.004538238,15809030.119655672,1204462085.843743,239996700.04316953,24621325.004538238,486973689.0820121,820710833.4846079
2019,519005.OF,Random_with_alpha,16136645.39529982,23209832.532657143,17323088.473597575,1698977846.376325,243753048.85536397,23209832.532657143,976699651.7985362,773661084.4219047
