year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_without_alpha,72764473.71134363,85167661.6653923,25665246.945018914,5525979972.778287,1368661435.34425,83772803.50931135,2682736353.336777,2792426783.643711
2008,340006.OF,Random_without_alpha,68654041.4874103,74736672.98617439,70575382.47712606,4282924970.025197,901478297.6848558,74736672.98617439,973790826.9706829,2491222432.8724794
2009,340006.OF,Random_without_alpha,72762123.98389667,66303529.040357105,17841987.420357946,3998587831.912804,818682772.8177891,78920172.95699982,868178815.7130806,2630672431.8999944
2010,340006.OF,Random_without_alpha,42433616.24910095,54860438.258658096,55636124.26800814,3910915141.549392,417518095.76387984,82956984.85386868,-97267188.57382776,2765232828.46229
2011,340006.OF,Random_without_alpha,73687654.02729961,75661140.6200108,72841916.50315356,4017934785.7539353,879923596.5203891,82575916.75792181,459850895.5730781,2752530558.5973935
2012,340006.OF,Random_without_alpha,24196402.10318238,0.0,9801152.740987886,4859819256.15526,-391836571.8238966,78799216.51850581,1477397175.930693,2626640550.6168604
2013,340006.OF,Random_without_alpha,51156443.491352186,72924335.73324391,64055494.964214616,5314409219.135715,926002491.660822,72924335.73324391,3188913078.8911796,2430811191.108131
2014,340006.OF,Random_without_alpha,30079638.6429617,21202331.796996202,26333956.053311992,4221889088.038924,168227749.5241341,70528688.74382009,1563687294.0251937,2350956291.460669
2015,340006.OF,Random_without_alpha,13283465.581846738,30985661.3831627,10228727.340190051,4224651720.890183,-338914924.94159377,89062721.82004833,326123773.08121514,2968757394.001611
2016,340006.OF,Random_without_alpha,390407.8418833,0.0,2004434.721856866,3173174059.555728,-529875208.61844045,82000185.79745151,-906667618.6625705,2733339526.5817175
2017,340006.OF,Random_without_alpha,26769993.302999634,0.0,26490850.08568798,4406746426.222143,151827215.92416728,84564406.67793795,963937349.7559545,2818813555.931266
2018,340006.OF,Random_without_alpha,63688106.800720334,73223162.924292,65433978.50026741,4966991018.3272505,1173879745.334081,73223162.924292,2562756780.024846,2440772097.4764
2019,340006.OF,Random_without_alpha,63940139.73249026,66818694.105841115,60325651.730120584,5261220763.750658,1270722767.2888503,66818674.79781194,2956869478.781816,2227289159.927065
