year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_without_alpha,9634037.428472305,3490805.8512,12715879.80780717,1593349406.2237425,-357148484.0407599,102110685.36591358,629921508.5497949,1021129217.7917707
2008,519005.OF,Random_without_alpha,16502525.3177554,15771959.2811411,16564510.458163876,600375372.8906895,-201215805.29891595,71515729.07568938,-24766438.918229233,615143219.8525627
2009,519005.OF,Random_without_alpha,1166389.1724521,0.0,7947658.776709842,1567516545.0321548,-859185205.2058707,119497453.51124404,-66243736.7578169,1659587719.6095893
2010,519005.OF,Random_without_alpha,6922512.723469144,2518869.9620421,7117204.922226507,720027921.032435,-279549631.9240782,87655284.95984446,-467785411.79423213,1187696311.471236
2011,519005.OF,Random_without_alpha,21599465.101281013,22369895.649569575,21240305.92107881,1246310386.5120542,-190756462.29187876,75623513.69613835,502359992.1628124,745663188.3189859
2012,519005.OF,Random_without_alpha,32118939.61731852,36242307.286926925,31341343.344293483,2046144375.6923032,-194180725.6215867,105075277.68418178,899133448.5060059,1208076909.564231
2013,519005.OF,Random_without_alpha,14599179.319774939,31918063.985477313,9230463.416869357,2108326509.4645426,-68217750.97870569,106465188.34840667,1161369678.9318988,959985602.8178891
2014,519005.OF,Random_without_alpha,32840173.924995363,29032680.70525404,25365019.65989083,1969677193.6926415,-429294348.8346747,107342768.45461553,351043500.8326216,1604185501.367434
2015,519005.OF,Random_without_alpha,25203281.57323932,28662177.485660486,24963738.752794527,1606505258.9088829,-5363746.770056649,107820913.49070768,-35858732.908852376,1639335501.8381526
