year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_without_alpha,62249607.01969541,12422956.58728081,92051535.22977753,5296227625.648073,-524920492.3574671,351468050.11501193,2650208387.0039225,3781308038.7250648
2008,519005.OF,Random_without_alpha,66374226.47349231,39068908.72472681,110229797.21355137,4021751502.067724,-1726922236.1749144,329150052.48158556,343429362.4209534,3708581250.986979
2009,519005.OF,Random_without_alpha,30517746.90798042,-197124.03057330736,30262568.983314693,4610424375.211385,-2235091348.982109,337330580.1540667,338513313.018827,4384591802.488438
2010,519005.OF,Random_without_alpha,37807892.86422273,10386457.991224699,68558723.67601712,3755360121.891905,-1613837722.8496075,358371444.1864825,-1968396402.0145636,5550426547.499961
2011,519005.OF,Random_without_alpha,112472095.18997163,112883813.66083586,131145810.29126176,5976567039.070772,-495439131.8720443,301976013.2483123,2698165204.0548267,3762798016.5597186
2012,519005.OF,Random_without_alpha,106000642.32824932,120453970.88832292,107904424.03680177,6081210619.943347,116355233.94857685,330340940.4493115,3379349424.4706845,4019066608.7332196
2013,519005.OF,Random_without_alpha,-83383123.41459341,244166037.34106967,-57547912.79391621,8226588156.991013,-494140603.94612384,355031550.68276566,4700936843.028437,3953897194.3289742
2014,519005.OF,Random_without_alpha,-25578566.353745982,-1198112.2024075987,-26391153.156497613,6854016069.96932,-563002149.5437231,312017674.34506303,997149867.6750547,4195051397.3330545
2015,519005.OF,Random_without_alpha,85789450.99661994,111000998.53505501,88731814.16313174,5491406605.92873,591418657.5012449,369554240.3553936,-123470067.86651438,5529400343.567415
