year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_without_alpha,141584505.2055591,141706250.2078635,133537493.33296308,4079894846.7340755,2400067338.726272,166896988.39420176,2455347080.0765805,2081457949.3507352
2008,340006.OF,Random_without_alpha,68033703.7730755,68032080.92053095,68285577.13644433,1676097088.971153,805180881.160695,92917056.6944777,671420506.8020508,1062343325.9506543
2009,340006.OF,Random_without_alpha,56498971.558492176,46741357.3698964,43515147.534917325,2670740297.996832,377287970.62480295,138936134.93132922,737962706.513793,2075296897.6030774
2010,340006.OF,Random_without_alpha,47558690.854605675,47657759.00830132,47663147.15566559,1302063596.132288,370723804.221978,116504718.78506304,-631785140.823801,1956123276.5132601
2011,340006.OF,Random_without_alpha,37525535.42087711,37049525.004099295,38485413.307046056,1942274312.7699304,144843121.01604947,111944963.08165036,310564848.8788737,1671282166.1447423
2012,340006.OF,Random_without_alpha,74439228.21425822,70986673.80541378,63107262.267164126,3040188674.5382304,740028088.8620183,130141580.58194326,1356397551.2894702,1850869104.1758163
2013,340006.OF,Random_without_alpha,71359436.06863488,73390201.74502279,71411898.44802794,3524597958.268847,1000442973.6048324,136010316.4290227,2050564160.4959407,1383164201.474689
2014,340006.OF,Random_without_alpha,44814679.79857239,52522936.6199341,54614181.55148347,2992875514.9768124,325548077.5297186,132729241.8647761,1076323435.2004263,1823426718.2595367
2015,340006.OF,Random_without_alpha,60942891.28796494,60988805.4238209,55115575.89116818,2443644178.721971,703763420.3432044,136576803.26807782,200604683.85511807,2239982315.978741
