year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_without_alpha,258782787.30127758,220697135.55673143,214657769.2060403,6495514413.9852295,4952148906.753109,328923332.93898255,5620206518.440307,3430960941.0785394
2008,161005.OF,Random_without_alpha,211704296.37112147,229769889.88837138,209629668.32129326,5060105089.839349,3220048217.744361,311617136.69796365,3708071379.4312463,2969171510.1132135
2009,161005.OF,Random_without_alpha,186689372.9942707,147131769.17645055,121086952.45107678,5619654828.999081,3735621742.435405,278602560.8561332,3914723024.9846907,2931042076.51615
2010,161005.OF,Random_without_alpha,128896351.14650947,151435904.31601053,169409208.90377882,4078073724.5104303,2793863928.6877766,342326954.5524958,-984238559.8743,5540023935.0581455
2011,161005.OF,Random_without_alpha,197064089.51938024,199620041.14257059,193731965.71222916,5705776009.519412,2391404745.424041,293515281.8102302,2364730764.5061483,4188747587.422883
2012,161005.OF,Random_without_alpha,236577758.3204355,228779730.07630634,200236040.62286824,6461744954.277628,4856480146.593501,306778985.56664807,3914738130.62215,4689858217.366787
2013,161005.OF,Random_without_alpha,312230698.0733748,310200852.56668097,326400283.14247596,10220608585.659576,4544778496.977839,325684071.2068261,6082540952.319906,3317309358.4171486
2014,161005.OF,Random_without_alpha,304512638.49914265,380965352.6684164,347937511.2132091,9063954972.249035,3034653842.847681,323342217.240253,3139801788.821657,4678076033.64412
2015,161005.OF,Random_without_alpha,196969175.48580265,227745894.2205015,162508184.73024216,6382844048.70055,3286039269.689775,398588056.87321484,314221993.41820997,5957610047.929244
