year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_without_alpha,78913863.2419655,78625169.66680051,70183224.23952258,2259629363.7017813,1186360695.6143878,103510566.86762512,-156614269.1560609,2451244762.8952713
2008,340006.OF,Random_without_alpha,57677727.8660851,58345642.97080343,55233302.019268066,1099588757.6208456,707420083.7744936,60937289.486575864,67133172.251929,1031643843.4849113
2009,340006.OF,Random_without_alpha,29001110.376011677,25226797.963277705,16986993.078167353,2331417866.3765664,79097340.61681847,77483990.42689835,789206269.9901922,1581304614.3358202
2010,340006.OF,Random_without_alpha,47474517.21234374,47582964.88693035,47510059.45855866,1961844293.7128441,729922364.5651798,57749338.728275135,1072269883.2869031,924414041.4268881
2011,340006.OF,Random_without_alpha,37222750.2722476,37000687.9617073,37844601.439837456,1648633822.6281095,373104423.5224268,61398042.59574961,644774213.2881824,1042525411.1363106
2012,340006.OF,Random_without_alpha,19487761.771405958,15209936.8244931,15794484.273298217,1903424869.7257414,46923463.179359175,73625945.83763014,469228990.95747864,1457719523.3420675
2013,340006.OF,Random_without_alpha,29765423.477605443,29868051.6836442,29827550.615961395,1422400811.2821233,177791318.71795905,93643272.12207477,-687463374.8474104,2125840681.2810192
2014,340006.OF,Random_without_alpha,10359001.073532658,9098836.350111298,11905483.961500721,1926425744.8943503,-118666749.4744189,79034283.9026071,310809996.9624762,1625437697.6579907
2015,340006.OF,Random_without_alpha,49801627.74055864,49875260.47630841,44096162.058186315,2258499565.5372057,591765301.289188,69537793.46064979,981604195.5089989,1312989520.4459233
2016,340006.OF,Random_without_alpha,20288618.062468946,20288618.062468946,20287464.148207262,1667384181.6862612,211313117.59221613,50316117.5761102,992650957.9014236,676287268.7489648
2017,340006.OF,Random_without_alpha,22674098.16611353,28318339.5179886,28495414.60808913,1891086852.050512,153452385.72884187,65564723.016824536,699030439.268261,1186545274.6928012
2018,340006.OF,Random_without_alpha,37920355.80399053,38642507.510406815,34294486.974777505,1892173599.5802832,455579582.10036016,82078877.54334168,155434162.2208539,1736751262.1760185
