year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_with_alpha,11958769.600783752,14094622.618765201,20580440.350070946,560749022.0940882,-107017574.43757334,25970556.427144453,-30189558.510985192,579429196.6965691
2008,161005.OF,Random_with_alpha,47065496.601405434,46887382.57366806,45873475.565004066,1061704673.8821119,674003700.0228109,63943845.751507275,-66144938.66890559,1126999106.7628572
2009,161005.OF,Random_with_alpha,5890899.52825094,8953589.0561776,11777837.878797358,1100500686.543943,-13909798.82035892,32306831.27121651,400653495.74426204,694687571.1786247
2010,161005.OF,Random_with_alpha,48659985.899395816,48771640.56548441,48580136.11371347,2310045238.7110653,1071806275.8978893,57697488.331809916,1407565344.9282165,928567589.5190504
2011,161005.OF,Random_with_alpha,10647313.61610646,18215580.440542,7649332.478795453,588567328.80216,110596236.35012206,28265005.340138316,262547768.20428413,328646718.3992827
2012,161005.OF,Random_with_alpha,28126341.92398083,26703174.589732293,26869942.04396873,1614371111.83377,497897458.9735498,46467346.93573696,737999212.3367087,890105819.657743
2013,161005.OF,Random_with_alpha,28558164.02608949,28553924.93707658,31292184.36779098,1796735074.7866492,711615216.9555643,98875070.09321722,-481097233.42202246,2344038171.8713546
2014,161005.OF,Random_with_alpha,44965114.96614608,48468368.4055871,43647197.84151296,2078201560.1081862,455536442.65958947,65082987.36521747,710887866.606734,1376858046.952055
2015,161005.OF,Random_with_alpha,84569497.78670546,84762781.95350283,80648243.04329596,3286245724.7522655,1528638469.484044,84762781.95350283,1590016041.1533816,1822386295.4501934
2016,161005.OF,Random_with_alpha,4975291.167378958,4975291.167378958,4982992.691150859,449395119.88195896,79271836.79244803,22278237.02941887,293960851.43727344,165843038.91263193
2017,161005.OF,Random_with_alpha,32958399.55917412,39568068.66936234,35228543.62340467,1445580218.2213411,374125433.4352876,47116252.35303111,580702751.3194226,866983759.5061545
2018,161005.OF,Random_with_alpha,26806430.606993392,26941613.138582256,22154748.632732254,1457552920.3255405,366714077.3113576,66711121.90577208,72869917.28224193,1385673777.8541048
