year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_with_alpha,731790.7340003999,138645.10831513494,5969418.458344331,129627077.55876741,-322038068.1364252,11994733.492183676,-44261877.76176662,185646290.49461588
2008,519005.OF,Random_with_alpha,16627079.2785811,15884656.8268928,17009832.817598335,617945831.9290375,143844217.86604202,53608935.56580221,-177182303.95701557,782178910.0752735
2009,519005.OF,Random_with_alpha,0.0,0.0,8393869.42731319,271531508.2188125,-158260895.13832882,15339551.759258233,62803835.38534663,226417004.0656602
2010,519005.OF,Random_with_alpha,4977996.422693226,2204081.3878489,7732178.408214586,768288548.7730293,-10215620.517692136,48218727.41354893,400016393.96500766,605574282.8887395
2011,519005.OF,Random_with_alpha,0.0,0.0,333.33792,121888175.26387024,-152204087.32856727,21311449.889454458,25253593.634772535,140988612.60594934
2012,519005.OF,Random_with_alpha,7746.0530572,0.0,325513.6755207082,173080031.07961476,-240874087.54352355,24291554.382822406,13458689.117686495,257955573.19951835
2013,519005.OF,Random_with_alpha,3667437.9175258707,1911364.4946153,7047688.423021952,151169993.94682953,-218474072.59276018,43054341.81552543,-305081618.6268743,639467971.9679254
2014,519005.OF,Random_with_alpha,4497729.2026266465,4526475.109098436,4786179.96743833,222197135.40295473,-265705549.5921438,20306480.968188908,108314748.13094226,150882503.63661453
2015,519005.OF,Random_with_alpha,5569358.42529286,6029859.807840976,4485063.693585677,257757892.72353184,-114712304.54112864,30106220.22070327,123877213.1177715,200995326.92803255
2016,519005.OF,Random_with_alpha,2115556.446453875,3801659.6984314024,2411220.304167702,269761221.5398278,-156427261.26060587,22655425.545294445,162165516.29869905,126721989.9477134
2017,519005.OF,Random_with_alpha,16039975.278368885,20421149.887850467,12281890.753273707,948053189.1167693,29203019.066094887,43797111.82347854,170108711.2994959,779198731.1876026
2018,519005.OF,Random_with_alpha,19879463.257462624,24675756.296819568,16097515.36695636,1195040914.5773664,165771519.54219222,61310934.34739052,-26653799.078894887,1221172601.6856985
