year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,163402.OF,Random_with_alpha,60073149.38441806,60133358.32943689,59465404.89095897,2376203718.407673,1137240682.5364144,88746853.8020877,1302822333.177098,1168007031.3750777
2008,163402.OF,Random_with_alpha,70078070.70828225,70529763.88332067,64467141.43725918,1661384051.9482286,869876179.014808,85877627.81056568,833021030.7709374,886713972.7270758
2009,163402.OF,Random_with_alpha,10043230.217888417,10351405.007668655,17980623.46530258,601076062.6855509,47406616.3691703,23995303.084094528,262402548.30154908,333572499.16320515
2010,163402.OF,Random_with_alpha,61575764.34718709,61723268.54531847,62769252.01913133,1688754329.8164613,805020098.076774,106879549.16995533,36284389.93059233,1718538254.4935305
2011,163402.OF,Random_with_alpha,46829885.73947648,48562831.909653805,44230110.80506581,1760610284.83235,535261981.94815683,78272587.56970042,577371268.7101405,1222395326.9888728
2012,163402.OF,Random_with_alpha,68583568.13194454,68481252.37696393,63328033.96575558,2440405959.044961,915100216.8664105,88300461.96890847,1060300215.1663166,1451180123.203905
2013,163402.OF,Random_with_alpha,105666410.1977938,108605644.65936753,98318457.3969178,4040764314.7088056,1354753290.0761518,132479619.14311914,2149560543.0997314,1716784382.3364162
2014,163402.OF,Random_with_alpha,70931184.92982884,78474239.46202159,78278916.36511157,2860375122.2554045,824115448.1739061,111354362.42966379,1017295328.6234549,1784025027.8525
2015,163402.OF,Random_with_alpha,87403531.65789072,87674300.21017182,80373836.07133147,3061609893.9133615,1229748012.7512949,168020305.07567352,175104569.34626344,2881299973.314891
