year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_with_alpha,110278845.54150616,133773760.44105197,120602945.90196037,6174487416.287746,2488224219.372352,154218862.94208542,4898222460.839119,2953640151.88815
2008,161005.OF,Random_with_alpha,209917898.47572252,228195331.47723466,207618357.37513542,5089695064.753798,3184703986.599012,309341877.19460183,3735636169.761661,2987400453.5262127
2009,161005.OF,Random_with_alpha,102883233.43009722,95621347.77557537,94830121.55364123,5445463461.258004,2173078118.250363,168599761.31805006,3398634066.388029,2890451141.5602527
2010,161005.OF,Random_with_alpha,130185078.75781089,152045162.44654202,169094369.57161984,4134804348.0595174,2815287281.0617843,344478872.7594335,-1007131180.9479761,5589212656.616694
2011,161005.OF,Random_with_alpha,95711964.18435921,119813302.7584004,82175214.63146089,5131926857.245513,1051653799.7051123,168649042.34159616,1978351570.095768,3571101119.327872
2012,161005.OF,Random_with_alpha,183021403.27316567,206510369.79787165,165922512.8464631,6243031075.933661,3043607793.2439804,230611585.02441615,3684901634.468794,4319615253.521977
2013,161005.OF,Random_with_alpha,304967808.32095927,302828523.0236313,318751650.7178873,10032882286.86809,4315549717.602936,313909532.40994334,6068352236.509092,3327835016.7923326
2014,161005.OF,Random_with_alpha,264769751.70961192,348600362.98366123,320090070.7719566,8468705762.5996685,2408678038.8321986,292330707.4594617,3124235086.219221,4659124657.018414
2015,161005.OF,Random_with_alpha,199234644.56190884,231650122.23621666,162989102.4558646,6419600122.572856,3270389339.898342,403436467.5375622,315939218.41933584,5989832021.775148
