year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_without_alpha,60936265.27187378,18750201.0158653,22690960.989993095,5188695020.2394,689210325.0026443,83960838.40736838,1962089970.3385715,2798694613.578946
2008,161005.OF,Random_without_alpha,72498534.53452247,73392363.22153547,69966536.15639257,4593430292.544155,1486781388.1163888,73392363.22153547,1582249741.2145875,2446412107.3845162
2009,161005.OF,Random_without_alpha,61704687.78090498,57428185.7576801,24421717.441714972,3756060160.199397,768657342.2472943,73505475.4099225,896077737.1052365,2450182513.6640835
2010,161005.OF,Random_without_alpha,33704368.564163394,58049198.732896805,47474864.82595051,3955148587.4492908,337519863.37780756,82823183.97573754,-138298911.12524638,2760772799.191252
2011,161005.OF,Random_without_alpha,61566531.77613584,41510726.4813373,63313989.636680655,4172240299.265717,709914097.0911344,83772090.01979649,283596574.9499048,2792403000.659883
2012,161005.OF,Random_without_alpha,27772091.472296275,0.0,21566465.207172975,4906263974.282625,-129212427.38044696,81018964.69601108,1729522177.0111828,2700632156.5337033
2013,161005.OF,Random_without_alpha,66751714.04142257,68366593.2979009,63743512.04971515,5709465464.354387,1921496734.7567446,68366593.2979009,4054252901.639317,2278886443.263364
2014,161005.OF,Random_without_alpha,45037847.07278632,59670986.09102839,30571611.88116557,4416826023.427602,664511554.8796299,64568709.042370215,2146062849.7012563,2152290301.4123406
2015,161005.OF,Random_without_alpha,66569140.88198535,87875345.9788781,54733614.720661454,4834933826.182089,948133079.6125522,87752601.76365098,1532939103.9679384,2925086725.455033
2016,161005.OF,Random_without_alpha,3975651.3210743004,0.0,20859750.63830574,3281008155.3889537,-169463943.09555948,78038435.37431683,-510482483.1889855,2601281179.1438947
2017,161005.OF,Random_without_alpha,52989790.92807123,53113376.59595329,43257573.08128749,4904229381.47365,583897599.036629,82682124.6271467,1405138418.5151124,2756070820.90489
2018,161005.OF,Random_without_alpha,70917552.59794931,74557449.98973505,68138457.73667283,5291626097.55719,1633357419.499349,74557449.98973505,3068653201.0801525,2485248332.9911675
2019,161005.OF,Random_without_alpha,66969163.563649595,67145482.56937496,63989892.50593329,5366746338.655443,1689292554.2417915,67140832.38766927,3380176058.260471,2238027746.2556424
