year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_without_alpha,156362523.07723317,117962400.0512417,118867863.70769875,4773597683.832058,1763056292.0103462,226156013.925419,-57113983.71198662,4708205733.823284
2008,161005.OF,Random_without_alpha,146931206.86199096,146200160.28257543,149141356.40725863,4745562143.2360325,2262364269.066379,220638699.85678506,-134483563.72162628,4918497271.92527
2009,161005.OF,Random_without_alpha,105286161.23058227,57203613.80661579,46675338.63751694,5476221275.440191,829656601.5532358,191147515.37935123,2272261178.311377,3930865470.4592757
2010,161005.OF,Random_without_alpha,126304862.38956197,151828040.63789302,135818694.31048825,6305317507.421308,3224069144.889746,176531051.92005253,5166904567.826959,3131504821.3942494
2011,161005.OF,Random_without_alpha,118738249.71509981,118202691.84759021,114407184.6868888,4877420633.765393,1546536110.4129026,166413783.00480288,3349388531.794382,2787579516.1947474
2012,161005.OF,Random_without_alpha,106129879.71317545,88319308.02961074,93760999.84190872,5513842243.893073,2508421899.1950083,166477626.32943434,3600575560.9655266,2881070452.7567987
2013,161005.OF,Random_without_alpha,70099670.05046093,68214857.41446878,96462339.99109815,4031209037.221899,1549742048.458783,224642886.21788916,-913299146.8373097,5214267626.780679
2014,161005.OF,Random_without_alpha,117547490.08697575,135226496.30975267,103174639.29420269,5504411956.65662,1435273362.1664844,182589747.30165648,2246819507.858775,3964935633.1684437
2015,161005.OF,Random_without_alpha,188121851.83382618,218480282.16634682,154172019.8483085,6242342251.971306,3194571162.1113267,218345106.29399535,3752255988.2476244,4412787186.815567
2016,161005.OF,Random_without_alpha,94964050.20404649,99946099.27613723,111976103.93340881,7845399788.419721,2367324270.0161448,168974675.9934769,5375681220.2872305,3035210914.35289
2017,161005.OF,Random_without_alpha,204536927.92668104,247632290.37995976,238271604.42935106,7883689444.756578,1865833475.5151918,183433446.64828798,2272797325.971095,3376107761.93512
2018,161005.OF,Random_without_alpha,78458310.6840942,82146167.10541543,75550573.85157605,5576189035.115322,1705244394.0252464,233495684.97349498,277550766.95224243,5273413343.584728
