year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_with_alpha,9118986.37354638,9268785.480918037,9110760.192839086,1338840254.3289778,338264232.46957815,9125606.539084911,1201237577.6933877,304186884.6361637
2008,340006.OF,Random_with_alpha,29923745.057704363,29923894.211434282,28510797.534707513,1026025348.1185553,423130130.5721418,29923894.211434282,27159472.962121144,997463140.3811427
2009,340006.OF,Random_with_alpha,2924584.708961257,8367535.1266508,9907542.23326577,600699831.2096311,21161969.97640479,9965646.643869994,517861714.96669453,332188221.4623332
2010,340006.OF,Random_with_alpha,19895154.6112149,19858062.0269234,19794414.772358768,937014799.8092011,198951546.1121811,30028286.37692949,-64884301.12040061,1000942879.2309833
2011,340006.OF,Random_with_alpha,19367295.888202224,21003565.1407195,19195240.525321603,783765228.8191803,196400759.71405387,22923109.96724786,41493822.42703888,764103665.5749286
2012,340006.OF,Random_with_alpha,622815.8586751,0.0,1673.2922245000002,775102551.3040534,-88850284.38607156,17795666.10178887,272976943.42845595,593188870.059629
2013,340006.OF,Random_with_alpha,27674995.215996467,27812268.039084107,27766122.82007708,1954347914.293011,516567484.52228904,27812268.039084107,1071492389.3366926,927075601.3028035
2014,340006.OF,Random_with_alpha,1493287.8501770631,5669474.920195299,15798365.8894121,909891526.0947652,-10620769.182456642,18861922.116330434,544219355.8847227,628730737.2110145
2015,340006.OF,Random_with_alpha,11240755.810537048,10493584.8823828,10213834.808757206,1318027757.9914305,102693116.57865539,30171138.24219215,312383911.94367415,1005704608.0730718
2016,340006.OF,Random_with_alpha,0.0,0.0,0.0,174707761.48243323,-124527292.5420972,18957301.096230827,-208790458.9399561,631910036.5410278
2017,340006.OF,Random_with_alpha,0.0,0.0,0.0,223699126.3291687,-195751988.65966505,14975546.697655547,-6386631.430165173,499184889.9218516
2018,340006.OF,Random_with_alpha,21496090.59123927,23172474.096740242,14940376.394784104,1167330184.7645566,235117688.58738878,23172474.096740242,462268524.75200343,772415803.2246748
2019,340006.OF,Random_with_alpha,24112425.04475142,24112425.04475142,24112323.774423596,2012456429.9889493,468326975.08989686,24112425.04475142,1229154709.8493652,803747501.4917141
