year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_with_alpha,62306802.84456644,77440297.20993301,74697474.27594252,4178415097.3704085,636215539.1837922,109577380.19138801,-134658835.9133535,3420990003.9958014
2008,340006.OF,Random_with_alpha,178963890.14358562,196865510.79478955,175660431.15127024,4719947363.773004,2121672031.349148,208089634.8683063,381712370.0107155,4467931266.275831
2009,340006.OF,Random_with_alpha,18434876.872625023,3326268.2154842997,10659023.586278614,4139751736.530089,-521070842.5532279,68366045.51761673,1221683523.2131917,2149844288.1679983
2010,340006.OF,Random_with_alpha,124434890.03698452,151465175.82794088,142611281.53393504,5855753338.931258,2245175679.613841,179168639.61558744,4074117293.5161057,3245741958.9006057
2011,340006.OF,Random_with_alpha,68118653.84452356,60535248.3584467,77704704.8504005,4480816573.993631,624398313.092601,121920427.32383907,2191595804.2851157,2770743980.6859818
2012,340006.OF,Random_with_alpha,19106942.127427533,27021052.442078203,21373143.22271483,2162664795.5185976,-740305529.4839207,97449300.70186181,568220693.0734472,2581316828.1746716
2013,340006.OF,Random_with_alpha,41484978.57045194,63588712.64018431,57585555.444066115,3844101380.709076,-256911812.77994618,214408921.54068646,-1555855406.893422,5027340296.683405
2014,340006.OF,Random_with_alpha,1108664.2925945797,7030046.6738551,15483269.025030967,179876725.91909683,-783866978.3570273,42991164.72700904,-71523619.64780083,653425598.6439949
2015,340006.OF,Random_with_alpha,121824976.32325669,155839595.0794248,98639541.63295802,5845761783.172382,1358413379.2422378,213248426.88169527,3131521621.7159886,4173600702.427874
2016,340006.OF,Random_with_alpha,2305702.7415171396,2610921.744334633,2305702.7415171396,278927478.19529486,-38555465.85994948,17831180.643538862,132871310.39175867,76856758.05057132
2017,340006.OF,Random_with_alpha,-1323576.8646861447,2403643.3151843008,2403643.3151843008,270590442.75633484,-116808920.25951843,8449070.624127759,-6450075.953123213,-23527436.421623677
2018,340006.OF,Random_with_alpha,36612192.26423983,51015791.48441524,41611932.54635784,3338164684.933943,434523118.89961106,127905635.62875962,274676636.4675645,3074348380.516657
