year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_with_alpha,1021622.6059723999,432760.6034976744,7355733.031915497,177121627.8779477,-319105578.2330224,15711580.498603921,84785501.1326774,122384438.94441392
2008,519005.OF,Random_with_alpha,16647236.92279216,15863418.840061402,16967084.115909662,290009625.7407757,-143658478.33573806,67587384.34899947,39145203.9138997,470067094.9576722
2009,519005.OF,Random_with_alpha,26.6529868,0.0,8560608.133702572,151644968.63017645,-190545298.72364363,20209460.46111187,13771314.551507907,158837507.35995826
2010,519005.OF,Random_with_alpha,4961197.803478193,2183848.4128410006,7456290.432369366,144439657.24713284,-163488912.12609345,63165903.37753476,-236192214.1158945,509160676.52450967
2011,519005.OF,Random_with_alpha,3648479.1426232276,3648479.1426232276,3648508.974701127,202574581.10928857,-109662199.16647851,24976602.16033869,81517479.4658262,121615971.42077427
2012,519005.OF,Random_with_alpha,4471044.731102842,4492133.963774756,4754157.720340563,208122129.73117018,-172657736.26726002,28834910.44157953,110848841.62181436,149737798.79249188
2013,519005.OF,Random_with_alpha,7638279.252352889,5929181.827936292,11071997.572517473,315584570.04441935,-174235926.98295274,47433785.80207118,169917671.9382435,132881133.65971704
2014,519005.OF,Random_with_alpha,5327497.653129416,4527381.719770085,4845625.879293618,257171751.4150481,-271007179.3677303,24540806.78607973,34449592.260425635,139076844.48039073
2015,519005.OF,Random_with_alpha,5559072.4373195125,6027688.445389367,4458089.920666975,239819025.01969004,-127709389.68568948,37078835.23805057,-5421951.441641022,239010888.44320577
