year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_with_alpha,35999956.40879212,36068269.9144055,35830505.69741269,1252404863.4785748,606534356.5922426,49620391.90773811,-87289406.35807237,1347662166.1733575
2008,340006.OF,Random_with_alpha,57857993.1773556,58553867.934085086,55317970.878969334,1095605337.964796,709642987.3960124,61161053.44391244,66467652.501727395,1037829373.5916415
2009,340006.OF,Random_with_alpha,4398958.311533234,8351038.5450193,9927549.937715225,913087510.212461,-53143526.44402355,28071903.351629212,303393186.4357436,604196798.7866691
2010,340006.OF,Random_with_alpha,47521565.88636045,47595433.062635645,47520913.498887695,1978097367.0823581,732057561.7146795,57735927.43071343,1076554259.1940906,926514028.9568149
2011,340006.OF,Random_with_alpha,26977232.67064311,28241274.5092691,28004263.215190925,1270237739.4304204,267502154.79798603,46773496.92099997,482015889.1656857,791287355.2520292
2012,340006.OF,Random_with_alpha,8697435.13213313,7549086.8730422,7107365.838362837,788958385.6581893,-16158430.753571741,39482859.54357794,220467405.72379693,723504077.9739113
2013,340006.OF,Random_with_alpha,27815184.606167175,27940919.222668774,27899801.545467127,1304740667.1946092,157209186.04022554,86421842.38356487,-632069289.572951,1949364105.363204
2014,340006.OF,Random_with_alpha,1487009.0293052539,5705075.2513378,15858334.274700178,254452514.03508726,-200854449.7633309,34340049.28274716,1759350.2914171715,511989583.5986856
2015,340006.OF,Random_with_alpha,49547329.23941404,49382563.67919491,43943227.60067211,2244517991.73968,591380909.1413796,68830697.62678313,975094490.5677019,1300377429.0802872
2016,340006.OF,Random_with_alpha,3449008.359432713,3449008.359432713,3449008.359432713,303388486.27093256,-46156301.113564365,22401407.435076147,189623981.34631583,114966945.31442378
2017,340006.OF,Random_with_alpha,4457640.652951198,4374584.1541928,4457640.652951198,347203655.23467374,-145453451.82147506,20477376.214216515,109310066.38951607,183296134.0692435
2018,340006.OF,Random_with_alpha,27310853.43844619,28969606.433157936,20817279.580646645,1265152168.5375383,293971076.12616277,57989460.03026422,103886652.69179821,1160324109.1454997
