year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_without_alpha,267712118.4063261,294492597.39859295,223355449.58854815,6018854952.247891,4544010297.898144,344418974.72378445,4515189844.114812,3596619374.2715306
2008,340006.OF,Random_without_alpha,219582699.94366625,229404845.65155265,235391717.000325,5016294824.572322,2348445153.8942056,311451603.1854865,2942790654.631949,3367788553.7529564
2009,340006.OF,Random_without_alpha,153967167.1422357,101460730.9902949,75581216.14512107,5049756023.308895,1320892842.8974562,301625061.29519606,1948695477.799975,3485006688.935028
2010,340006.OF,Random_without_alpha,127212670.16624527,154349633.40435743,147697353.26671353,4135437569.002093,1266406230.134075,352679509.20932746,-1760194012.4918306,5660571259.293016
2011,340006.OF,Random_without_alpha,124684561.76905957,105828450.8376948,143639935.0197517,5375538134.116911,413933347.7693287,327425852.77332234,997073752.98226,4927582650.139438
2012,340006.OF,Random_without_alpha,183486059.65438452,168758255.86744457,147322866.99395123,5907644497.936873,2060695952.5315907,315028798.59565926,3237804285.629359,4440653021.039585
2013,340006.OF,Random_without_alpha,295103344.7197659,317065673.4803011,268158783.2782742,9524267697.582405,2179441669.551571,345014540.7978461,5598756784.29482,3696653838.2898345
2014,340006.OF,Random_without_alpha,47377737.426466055,202614746.4493906,211217153.33476275,8157721878.386393,844432727.1832176,334536330.02441365,2546141717.6791134,4266414410.2467017
2015,340006.OF,Random_without_alpha,151189884.9488464,184872300.23435843,126394976.88932241,6222615520.139964,1654347797.1088128,383761329.8090647,507926042.2557919,5638535478.024032
