year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,163402.OF,Random_with_alpha,34862215.89528739,48889664.40506305,54245868.97276978,3944981192.1675243,317568407.8498344,117590401.46236597,-475074829.6482143,3635562173.122683
2008,163402.OF,Random_with_alpha,118351088.12518843,140761584.6608503,144014983.42930257,4616851682.587766,1275410187.6067348,213099653.96662956,-186277779.82800394,4603031239.750373
2009,163402.OF,Random_with_alpha,1467590.3555715897,31303.636381599998,14194855.843543159,2302922468.9310884,-463887523.41484004,18794817.699605808,630316814.8072234,609596965.1219336
2010,163402.OF,Random_with_alpha,113972146.26179948,128650138.83380839,122720997.33116406,5561996292.621307,1814095608.2475169,184711109.67585254,3881482255.309508,3326144393.607383
2011,163402.OF,Random_with_alpha,81341806.29054417,87807677.22102305,72409712.75854513,4496618977.639776,1115163388.4928174,105271436.31562637,2588930604.9457994,2397247595.234533
2012,163402.OF,Random_with_alpha,60678675.90157853,73348942.0673758,80367563.33300114,4611865907.677389,700384348.2823746,96657945.57979956,1873027039.2230313,2442153542.103428
2013,163402.OF,Random_with_alpha,106198992.45263445,119494405.88269675,119710767.45957422,4188180752.5117154,1315130919.263631,182419529.21284345,155168885.7786109,4272352497.7441545
2014,163402.OF,Random_with_alpha,61019153.83236907,77993164.93059465,71596613.60367116,4691421947.266422,525045759.67448485,125450425.93521512,1552185377.4608188,3203474835.5805287
2015,163402.OF,Random_with_alpha,194032076.09196952,219311475.846554,159356153.3730692,6013153124.400968,2610651530.8666687,219302441.32071075,3114296244.6160445,4500160593.350253
2016,163402.OF,Random_with_alpha,99697456.67159715,144551221.6434651,116754047.28436409,7242795537.318719,1528190233.3591068,176552255.46556962,4139328691.144986,3256086379.053428
2017,163402.OF,Random_with_alpha,16724254.783523904,95808847.2621543,97366294.87441719,3216819167.1142316,550011659.8958038,101145558.51138093,1555036713.1380472,2745256723.858045
2018,163402.OF,Random_with_alpha,74155144.07597838,78613458.80082648,73968574.78080913,5141865743.856452,1045678551.9509586,212722373.2370809,292747220.8691692,4809299631.425035
