year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_with_alpha,336162.23144749994,-2942938.9146317956,-2149422.175493307,141600742.48023456,-287307310.8529416,3752897.073937948,65810633.98649934,95915056.07140432
2008,519005.OF,Random_with_alpha,65635847.118992396,38898510.2932902,108939989.78093034,437686683.74140316,-1189052027.269747,283192566.6267257,505251718.36169094,2284449007.50969
2009,519005.OF,Random_with_alpha,750670.867143416,-909901.5299678097,2935282.3796591605,119584865.66093096,-351918539.3800526,12421627.654378463,89371374.22290194,116487081.54871783
2010,519005.OF,Random_with_alpha,17692551.620413423,8069087.087169299,46565710.47440713,117034440.04757632,-1111392397.4216495,197074339.63199562,-727762047.1736997,1109195909.3183637
2011,519005.OF,Random_with_alpha,2812514.213020353,2812514.213020353,3911899.906906675,156445335.15294722,-126421423.6960553,17500750.400090594,62934127.66089259,93750473.76734509
2012,519005.OF,Random_with_alpha,3196161.595456901,3695143.806622741,5315319.430355214,176422822.3970414,-466734010.1178301,26388941.05244073,80713874.4023521,127585901.26502876
2013,519005.OF,Random_with_alpha,6533660.998416599,6915662.603943707,25948888.4900609,245010458.5884122,-984040942.1680474,75881679.96490362,134242896.4063121,110619585.51074402
2014,519005.OF,Random_with_alpha,2268811.716033287,2257987.7467509056,9606060.701853525,201525438.82768652,-383544748.57508,18555948.178629465,27217737.563460723,110357708.5503958
2015,519005.OF,Random_with_alpha,3163250.79655713,6307187.053927522,4259756.135747638,312785504.2984921,-585861949.7099034,63761421.22751853,-7271379.762899948,295193818.85319656
