year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,163402.OF,Random_without_alpha,223080678.66358876,247133066.03964213,184446275.46934578,5839815309.572025,3815704052.4213977,350470033.1849673,4263360998.438518,3753435372.0046577
2008,163402.OF,Random_without_alpha,194895551.16246498,231127977.11163154,210266397.43468618,5143028737.1802435,2425789817.458609,302770131.19094074,3642066478.0637846,3011233073.111724
2009,163402.OF,Random_without_alpha,163647085.29094994,110151925.52742073,120986710.9092675,5652797702.781203,2575882691.564263,312538421.70891154,3356658713.562757,3529420239.8510647
2010,163402.OF,Random_without_alpha,189586114.05188724,205011244.93932104,207021625.1906959,4574295270.758134,2568857813.21577,334264685.6006204,173093037.69370452,4859585884.649877
2011,163402.OF,Random_without_alpha,185451423.36307484,190126941.19380873,188759346.44344875,5511846939.398386,2214661405.027593,296283399.25031096,2098500146.0940194,4221283206.2614484
2012,163402.OF,Random_without_alpha,249084490.27231318,243176187.65098256,213637869.73212993,6188446979.676603,3763589383.597781,325039917.52272666,3198368825.779603,4696038902.842638
2013,163402.OF,Random_without_alpha,378985219.2791792,397383991.39824635,303116989.39590704,9256304767.411453,3064516880.0561104,318498758.3854226,4649018462.225673,3572773566.0310435
2014,163402.OF,Random_without_alpha,122270234.42187764,312621573.6166718,277936666.34704494,8526509633.60137,2589930850.355479,337918133.8211815,2806452990.247463,4911653038.833516
2015,163402.OF,Random_without_alpha,204199420.34819323,229528946.42214933,170086613.95690393,6170955759.316869,2700923168.90728,388783257.5598916,348620984.5812517,5711297698.848775
