year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_with_alpha,3058530.7704142826,10150885.317990402,6593149.3207956925,2492037196.7535524,47190041.23600185,7553453.615869288,1344666304.950732,251781787.19564292
2008,340006.OF,Random_with_alpha,68622578.2810623,74846668.45603225,70719061.8280042,4320416338.186508,898125569.7485219,74846668.45603225,987381414.2262582,2494888948.534408
2009,340006.OF,Random_with_alpha,1958839.2671430332,3359996.6933598,2214421.423112327,801784543.7045512,-29992465.68035049,3904127.7632823274,311813501.32446384,130137592.10941091
2010,340006.OF,Random_with_alpha,42011749.544402726,55265666.0171329,55990995.15637506,3915237037.155386,413593896.3150122,83569748.3331464,-99422519.89946333,2785658277.771546
2011,340006.OF,Random_with_alpha,34598257.776416995,35211811.1287816,36331776.88434729,2894921999.459366,458520842.7585405,38429867.179358736,343717348.15657943,1280995572.6452913
2012,340006.OF,Random_with_alpha,765255.799528999,0.0,4699917.904436424,2031858809.909846,-586913128.3438567,19829797.385522664,414685171.71879387,660993246.1840888
2013,340006.OF,Random_with_alpha,40730809.88753498,63711577.07056062,54508851.99357791,4878090613.689025,633172484.7116219,63711577.07056062,2712332927.644693,2123719235.6853542
2014,340006.OF,Random_with_alpha,1083861.7016195473,7033899.033175101,15536623.093641657,1781344502.11118,-383152861.92456555,23400628.807319533,889735254.1377186,780020960.2439846
2015,340006.OF,Random_with_alpha,13698401.252108827,30997843.940601695,10292608.29863139,4202936753.024808,-335821803.00800216,89093820.40358193,328354709.3747838,2969794013.452731
2016,340006.OF,Random_with_alpha,0.0,0.0,0.0,128496954.94465598,-103540934.6204802,15473581.542654477,-225957011.15178505,515786051.42181593
2017,340006.OF,Random_with_alpha,0.0,0.0,0.0,200105774.37060302,-146329854.27972504,9159205.295558237,-3653011.5221931413,305306843.1852746
2018,340006.OF,Random_with_alpha,21183973.123679027,35625008.75454006,26238360.67146243,3028685438.728849,274264398.36518437,35625008.75454006,939695299.7977053,1187500291.8180022
2019,340006.OF,Random_with_alpha,35005739.56601035,40222659.964804426,34513917.737845786,3894925937.4858885,562453835.8388027,40222659.964804426,1788446564.2815828,1340755332.1601477
