year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,340006.OF,Random_with_alpha,147738597.13057587,178142367.53924173,165172520.76174265,5889253065.079837,2528265956.0235095,210248481.3585825,4208127417.12017,3350480359.618625
2008,340006.OF,Random_with_alpha,220156781.4672627,228532711.44036084,235722542.76801166,4931942021.675967,2354339377.206968,310272944.21590626,2920140048.826016,3350511054.830546
2009,340006.OF,Random_with_alpha,55847547.4553394,37881868.3145029,50636015.42081973,4697046597.781776,-27867361.631105598,165645188.97401592,1509897433.2391262,3287678369.9210334
2010,340006.OF,Random_with_alpha,126289077.48800904,153540590.37973237,148130109.9672276,4055153115.023982,1245127292.738586,351847688.0907406,-1763646716.5366504,5657302805.216358
2011,340006.OF,Random_with_alpha,81066399.46476527,59819706.6647428,95678409.23094302,5350901948.585981,52516845.225741304,261960385.22343722,1003168644.4764261,4712569696.544428
2012,340006.OF,Random_with_alpha,57476526.481510095,84331946.04223315,58363118.746195205,3621471536.319572,-223877166.25924745,153385802.21798918,1334832352.8003988,1931866694.775502
2013,340006.OF,Random_with_alpha,289755268.7455646,312394014.4247578,262357786.1029432,9299905154.322412,2067180394.1315281,338182761.4514368,6006113313.531404,4142308965.499639
2014,340006.OF,Random_with_alpha,4220896.004471439,10641578.989514997,19058412.863060612,277283806.62272984,-714688379.2163175,45233261.41346476,81699740.58566426,136221431.49186274
2015,340006.OF,Random_with_alpha,149594782.71107346,183578786.94715196,125798162.62244685,6194628516.279558,1602521889.1199844,381893852.6504739,505778377.81003964,5616259753.864385
