year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_with_alpha,0.0,1899652.8216539002,8476062.992459469,573039695.258592,-228014796.45621958,8535372.579969613,603412234.4707546,284512419.3323204
2008,161005.OF,Random_with_alpha,30017341.675226104,30017341.675226104,28705375.41967035,1114813530.3671024,502585093.04861593,30017341.675226104,106577255.37022075,1000578055.8408701
2009,161005.OF,Random_with_alpha,2711482.3716256,8933680.908088898,10737688.48764494,688947363.7649963,18412333.91692596,11440709.2322569,489248315.10857373,381356974.4085634
2010,161005.OF,Random_with_alpha,20772494.310313407,21108171.4328495,20748179.708034173,957301976.4319781,209820582.39088783,30116625.278820887,-53623886.900917284,1003887509.2940297
2011,161005.OF,Random_with_alpha,2639346.8690782995,9139121.5963915,1524967.4516264999,334176094.87730336,26312180.645706322,18443505.618210517,-118456729.35571143,614783520.6070173
2012,161005.OF,Random_with_alpha,1637261.1930545417,0.0,394775.75613630004,935093475.8894705,-50966747.9140742,19757485.615869295,359506297.2838457,658582853.8623099
2013,161005.OF,Random_with_alpha,28431019.270826012,28431019.270826012,28430993.775174294,2361165271.059198,876534205.2057679,28431019.270826012,1431705673.226557,947700642.3608671
2014,161005.OF,Random_with_alpha,18341337.70853784,21940877.352686197,17586331.388116926,1388942091.7520344,189149278.50832275,23784300.51421017,705523475.6146638,792810017.140339
2015,161005.OF,Random_with_alpha,29803295.987710595,29923278.655074738,29639340.18271921,1813942050.5154953,618042843.6487232,29923278.655074738,826403939.46839,997442621.8358246
2016,161005.OF,Random_with_alpha,0.0,0.0,5057.1710346,194080204.1103023,-59043651.28487656,17308262.941975106,-149687787.34323034,576942098.0658367
2017,161005.OF,Random_with_alpha,9664764.4482554,13516000.168817302,9109792.319832077,854130112.4592736,96647644.48253757,21040492.660071217,315300028.4498665,701349755.3357074
2018,161005.OF,Random_with_alpha,25016579.323755983,25147426.049568076,20228520.85451605,1380125431.2909029,349003216.6859925,25147426.049568076,598420445.6509002,838247534.9856026
2019,161005.OF,Random_with_alpha,28529684.08176274,28529684.08176274,28529684.08176274,2573934867.2279797,786043682.4672222,28529684.08176274,1626643820.9033062,950989469.3920914
