year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,163402.OF,Random_without_alpha,55691622.06567671,55704669.311816014,48674482.436306044,2074850632.1916897,1003396567.2398039,105543199.51942962,-405791146.76929617,2517475779.229573
2008,163402.OF,Random_without_alpha,43575135.154486485,43782869.47353527,41924222.4678046,917136942.9004613,510756417.98580974,59152871.087386854,-65088126.89691082,978027175.2142994
2009,163402.OF,Random_without_alpha,6449772.376985601,1392674.9892513,10083760.707432544,2085623708.3017254,-73633535.45135708,70471044.844656,744804894.5404263,1346954230.946322
2010,163402.OF,Random_without_alpha,35211576.32918224,35210323.914048806,34893960.65279056,1744773250.279883,539898404.746864,54920205.59392559,929542149.7805086,835390040.5891936
2011,163402.OF,Random_without_alpha,41977259.75176328,42160085.645943075,37477487.52052572,1759249052.3850422,517550530.92246956,57882894.11369286,860594188.4774626,928952748.6486293
2012,163402.OF,Random_without_alpha,46707755.9902506,45068131.32432369,46855977.87573438,2590785180.4849796,779463607.1639416,75000711.29835157,1149436646.719835,1502271044.1441236
2013,163402.OF,Random_without_alpha,61203688.86274248,61302331.09909163,61988407.62561364,2042214334.117832,837772029.9532429,91638550.73925108,39004916.344422825,2059702339.7432683
2014,163402.OF,Random_without_alpha,58566289.68378362,59034843.91726591,53096368.469777144,2724307536.4421477,688291839.9145,87195567.67832576,892921977.9873295,1900411630.0923219
2015,163402.OF,Random_without_alpha,82110716.13657863,82336349.38499098,75108341.65936391,2929698832.6222787,1181275056.4713638,82336349.38499098,1276366874.9593067,1744831657.9973118
2016,163402.OF,Random_without_alpha,44595074.58077269,45903988.94252873,44203656.3450777,2285925456.7041693,521553545.37862444,60699273.03859519,1264625350.2007987,1018771237.5934813
2017,163402.OF,Random_without_alpha,42086642.383948654,48175712.0091608,48141969.314570956,2336812526.7031765,481001124.2216324,75160003.93977554,852791354.0467936,1496496283.410146
2018,163402.OF,Random_without_alpha,33666903.00893238,33739360.495101914,29667880.890186537,1847142540.8169208,396107083.02274865,82275217.97561772,105743252.43007934,1740551569.3939939
