year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return,ret_exc,ret_exc2,ret_exc3,ret_emean,ret_emean2,ret_emean3,year2
2006-12-29--2010-01-04,340006.OF,mode1,37589293.81284588,37589293.81284588,37589293.81284588,3191531369.6121225,659329422.5139008,37589293.81284588,1675659779.9488444,1252976460.428196,0.0570114005674506,0.0570114005674506,0.0570114005674506,0.03,0.03,0.03,2007
2006-12-29--2010-01-04,340006.OF,mode2,21780835.392,103347928.21654844,103347928.21654844,10240266450.006588,217808353.91582918,103347928.21654844,4009015172.5008783,3444930940.5516148,0.1000000000019149,0.4744901945151593,0.4744901945151593,0.006322575333981115,0.03,0.03,2007
2007-12-28--2011-01-04,340006.OF,mode1,35797802.435480736,35797802.435480736,35797802.435480736,1606346099.351412,466132773.5236082,35797802.435480736,176973768.15887165,1193260081.1826913,0.07679743727281103,0.07679743727281103,0.07679743727281103,0.029999999999999995,0.029999999999999995,0.029999999999999995,2008
2007-12-28--2011-01-04,340006.OF,mode2,75627160.835,84951967.39302744,84951967.39302744,9036376260.042063,756271608.3502117,84951967.39302744,1764025622.9211323,2831732246.434248,0.099999999999972,0.11232997041677673,0.11232997041677673,0.026707030980853023,0.03,0.03,2008
2008-12-31--2012-01-04,340006.OF,mode1,26046641.332,26065257.135,18286507.202,2027111533.9710815,260466413.32121366,31043448.08281577,528049040.02166647,1034781602.7605257,0.09999999999953403,0.10007147103014652,0.07020677625505836,0.025171148445734245,0.025189138524945493,0.017671851870207585,2009
2008-12-31--2012-01-04,340006.OF,mode2,60029594.68922148,50403125.873,0.0,6504138555.36324,636029303.778603,60029594.68922148,181031697.31323814,2000986489.640716,0.09438180651833195,0.0792465466190925,0.0,0.03,0.025189138524393563,0.0,2009
2009-12-31--2013-01-04,340006.OF,mode1,23870051.709,27189461.21,30441996.742,1462303331.6601713,238700517.08699116,41114431.33464008,-55502585.41734467,1370481044.4880025,0.1000000000012605,0.11390616803771385,0.12753217761529115,0.017417279724520087,0.01983935591036044,0.02221263611374706,2010
2009-12-31--2013-01-04,340006.OF,mode2,43785752.686,101788402.874,142357566.768,8226074764.666047,437857526.8559442,153918912.4908574,76143972.38546725,5130630416.361914,0.10000000000092628,0.23246923172680445,0.325123032120071,0.008534185691170502,0.019839355910219174,0.027746603285633765,2010
2010-12-31--2014-01-02,340006.OF,mode1,27582129.862,28354050.314,30615806.871,1113407786.7531981,275821298.62038714,30945366.132393762,88998236.67907512,1031512204.4131254,0.09999999999985965,0.10279862525418561,0.11099870468355867,0.02673950898883716,0.02748784764028257,0.02968050861639464,2011
2010-12-31--2014-01-02,340006.OF,mode2,39017384.301,40967732.095,44711829.712491445,2037620730.9517217,390173843.0071622,44711829.712491445,307912841.0185927,1490394323.7497149,0.10000000000072731,0.10499866361940612,0.1145946365032745,0.026179235709134566,0.02748784764016573,0.03,2011
2011-12-30--2015-01-05,340006.OF,mode1,0.0,0.0,0.0,1570152110.008572,-223378951.58350742,28576107.70238289,507017877.3330897,952536923.412763,-0.0,-0.0,-0.0,0.0,0.0,0.0,2012
2011-12-30--2015-01-05,340006.OF,mode2,0.0,0.0,4123491.67,2873497498.549684,-856983010.1763229,36685320.20357704,799388901.635086,1222844006.7859015,-0.0,-0.0,-0.0048116375949525505,0.0,0.0,0.003372050439072848,2012
2012-12-31--2016-01-04,340006.OF,mode1,39573019.35713532,39573019.35713532,39573019.35713532,3369505962.093993,643334164.9903996,39573019.35713532,1485300098.4372723,1319100645.237844,0.06151238580299223,0.06151238580299223,0.06151238580299223,0.03,0.03,0.03,2013
2012-12-31--2016-01-04,340006.OF,mode2,119807790.69425286,119807790.69425286,119807790.69425286,12636597512.092932,1204391857.127761,119807790.69425286,3600186626.8095994,3993593023.1417623,0.09947575615462148,0.09947575615462148,0.09947575615462148,0.03,0.03,0.03,2013
2013-12-31--2017-01-03,340006.OF,mode1,4530592.649,12079297.769,0.0,2510311277.1641607,45305926.49095547,40186926.821896665,568815148.6995267,1339564227.3965554,0.09999999999789107,0.26661628410604116,0.0,0.0033821391735767772,0.009017333788075342,0.0,2014
2013-12-31--2017-01-03,340006.OF,mode2,0.0,41625394.246,0.0,14121562743.820387,-439898687.66297966,138484596.0839567,38982547.09324503,4616153202.798556,-0.0,-0.09462495663976732,-0.0,0.0,0.00901733378796104,0.0,2014
2014-12-31--2018-01-02,340006.OF,mode1,1698365.473,14712960.025,0.0,1373694680.892414,16983654.731848627,42302678.81095859,237123902.18602526,1410089293.6986196,0.09999999998911525,0.866301173528304,0.0,0.0012044382441520716,0.010434062644648816,0.0,2015
2014-12-31--2018-01-02,340006.OF,mode2,0.0,51426280.949,0.0,2513965496.816619,-1202768858.0326297,147860759.61506888,-514375848.414991,4928691987.1689625,-0.0,-0.04275657837792543,-0.0,0.0,0.010434062644385133,0.0,2015
2015-12-31--2019-01-02,340006.OF,mode1,0.0,0.0,0.0,578069614.2841883,-188018914.61912993,27766760.63820416,-322608385.8369116,925558687.9401387,-0.0,-0.0,-0.0,0.0,0.0,0.0,2016
2015-12-31--2019-01-02,340006.OF,mode2,0.0,0.0,0.0,603401234.8393991,-242413205.0156526,28472801.53418373,-394430383.1015807,949093384.4727911,-0.0,-0.0,-0.0,0.0,0.0,0.0,2016
2016-12-30--2020-01-02,340006.OF,mode1,0.0,0.0,0.0,1245483788.8342524,-128265862.09398746,27219350.43592575,187599551.02732092,907311681.197525,-0.0,-0.0,-0.0,0.0,0.0,0.0,2017
2016-12-30--2020-01-02,340006.OF,mode2,0.0,0.0,3863426.181,2279329836.190118,-82039911.28462148,27873188.84656328,336526962.81954753,929106294.8854427,-0.0,-0.0,-0.04709203265221236,0.0,0.0,0.004158217635880246,2017
2006-12-29--2010-01-04,163402.OF,mode1,37614991.470094785,37614991.470094785,37614991.470094785,3251875470.9828105,722947757.6047622,37614991.470094785,1745968875.5539193,1253833049.0031595,0.052030027169209396,0.052030027169209396,0.052030027169209396,0.03,0.03,0.03,2007
2006-12-29--2010-01-04,163402.OF,mode2,33552800.43,103883396.9960748,103883396.9960748,10433885000.212837,335528004.3015213,103883396.9960748,4252031352.6242065,3462779899.86916,0.09999999999954659,0.3096117035367345,0.3096117035367345,0.009689556194798225,0.03,0.03,2007
2007-12-28--2011-01-04,163402.OF,mode1,35040776.909371704,35040776.909371704,35040776.909371704,1248565283.584881,395096162.1807506,35040776.909371704,92168967.7270864,1168025896.9790568,0.08868923635188608,0.08868923635188608,0.08868923635188608,0.03,0.03,0.03,2008
2007-12-28--2011-01-04,163402.OF,mode2,41631773.281,73645047.5942001,73645047.5942001,4006114840.629342,416317732.8129426,73645047.5942001,1178512935.2083793,2454834919.80667,0.09999999999929318,0.1768962544463362,0.1768962544463362,0.01695909282742267,0.03,0.03,2008
2008-12-31--2012-01-04,163402.OF,mode1,0.0,1090528.433,13179635.135,1153295469.4348044,-18989973.914040923,23540252.942271836,393549423.910504,784675098.0757279,-0.0,-0.05742653665225303,-0.6940312395719069,0.0,0.0013897834093044641,0.01679629590300577,2009
2008-12-31--2012-01-04,163402.OF,mode2,0.0,817242.004,17641065.464683626,1203834094.0188727,-41406799.43360007,17641065.464683626,439768787.6238413,588035515.4894543,-0.0,-0.0197369034839442,-0.426042720181086,0.0,0.0013897834101393766,0.029999999999999995,2009
2009-12-31--2013-01-04,163402.OF,mode1,9535124.16,10763066.248,14268470.438,1073143705.2771306,95351241.60198534,31666273.37433227,-134527106.21216872,1055542445.8110758,0.09999999999791788,0.1128780922741115,0.1496411603905419,0.00903338771248866,0.010196715717793509,0.013517666195826115,2010
2009-12-31--2013-01-04,163402.OF,mode2,3642520.741,16939719.013,44325631.784,3443261622.2477293,36425207.41107342,49838750.478985734,6959627.831504524,1661291682.6328578,0.0999999999970531,0.46505484023270804,1.2168944237919377,0.0021925835054005926,0.010196715718309922,0.026681426414987885,2010
2010-12-31--2014-01-02,163402.OF,mode1,16000009.412,16126639.188,20826689.065,1192022315.1924016,160000094.12252194,33868373.97109419,-29405217.390038975,1128945799.036473,0.0999999999984238,0.1007914356328493,0.13016673008361934,0.014172522211124403,0.014284688602201879,0.018447908732886077,2011
2010-12-31--2014-01-02,163402.OF,mode2,33562547.272,33084633.802,69482719.69350545,3824692509.103377,335625472.7243134,69482719.69350545,331550359.16005456,2316090656.450182,0.09999999999871483,0.09857605125572844,0.2070245715544343,0.014491033491513036,0.014284688602262247,0.029999999999999995,2011
2011-12-30--2015-01-05,163402.OF,mode1,0.0,0.0,863301.157,1986595889.8285344,-146975135.4047519,33847413.86726437,708137651.5956303,1128247128.9088123,-0.0,-0.0,-0.00587379051989013,0.0,0.0,0.0007651702671159858,2012
2011-12-30--2015-01-05,163402.OF,mode2,0.0,0.0,71895700.12269232,6374141089.14258,-966569262.7693892,71895700.12269232,2247386449.419912,2396523337.423077,-0.0,-0.0,-0.07438235715948449,0.0,0.0,0.030000000000000002,2012
2012-12-31--2016-01-04,163402.OF,mode1,38838095.73144607,38838095.73144607,38838095.73144607,3293578961.401087,622093210.7278519,38838095.73144607,1442333597.495458,1294603191.0482025,0.06243131264204817,0.06243131264204817,0.06243131264204817,0.03,0.03,0.03,2013
2012-12-31--2016-01-04,163402.OF,mode2,111643265.90175566,111643265.90175566,111643265.90175566,12351849849.12681,1807331094.899589,111643265.90175566,3949537182.2776704,3721442196.7251887,0.06177244790222474,0.06177244790222474,0.06177244790222474,0.03,0.03,0.03,2013
2013-12-31--2017-01-03,163402.OF,mode1,37567071.14627584,37567071.14627584,37567071.14627584,2450733655.3856564,446668568.3792112,37567071.14627584,1025645383.1485491,1252235704.8758614,0.08410502508065952,0.08410502508065952,0.08410502508065952,0.03,0.03,0.03,2014
2013-12-31--2017-01-03,163402.OF,mode2,83864810.417,105047283.38077335,13891753.954,7863361729.136867,838648104.1703742,105047283.38077335,1946587590.7961137,3501576112.6924453,0.09999999999995537,0.12525787974527233,0.016564461166632346,0.02395058902561291,0.03,0.003967286018329129,2014
